iter	RMSE
0	0.3498003645
1	0.3489970036
2	0.3484266605
3	0.3478007436
4	0.3470986582
5	0.346463676
6	0.3458910358
7	0.3453455339
8	0.344799748
9	0.3441400079
10	0.3434066903
11	0.3426982114
12	0.3421733172
13	0.341518527
14	0.341089414
15	0.340442542
16	0.3400291612
17	0.3395098593
18	0.3389764257
19	0.3383725451
20	0.337789113
21	0.3370667374
22	0.3365862182
23	0.3360986259
24	0.3354764666
25	0.3351058539
26	0.3345889909
27	0.3341087302
28	0.3335846265
29	0.3329905238
30	0.332494483
31	0.3319575312
32	0.3313807548
33	0.330808322
34	0.3303365082
35	0.3296752645
36	0.3290813042
37	0.3285381311
38	0.3279265519
39	0.327433289
40	0.3268770697
41	0.3263951177
42	0.3257908662
43	0.3253455004
44	0.3249824724
45	0.3244980745
46	0.3240648036
47	0.3235265654
48	0.3229186478
49	0.3224324061
50	0.3219236305
51	0.3215385407
52	0.3210428372
53	0.3204780717
54	0.3200945528
55	0.3196840672
56	0.3191847315
57	0.3186069483
58	0.3180699321
59	0.3176357783
60	0.3170649918
61	0.3164646285
62	0.3158409516
63	0.3153548276
64	0.3148768281
65	0.3143493446
66	0.3139976942
67	0.3133970538
68	0.3129652593
69	0.3126823831
70	0.3119802076
71	0.3114510993
72	0.3109510639
73	0.3104259816
74	0.3100260841
75	0.3095127297
76	0.3090431019
77	0.3085905701
78	0.308178996
79	0.3077173518
80	0.3073339653
81	0.3067539522
82	0.3063652929
83	0.3059030378
84	0.3055981035
85	0.3052880082
86	0.3048237029
87	0.3043461542
88	0.3038267787
89	0.3033518631
90	0.3028792651
91	0.3024383033
92	0.3019799595
93	0.3015551314
94	0.3011965308
95	0.3008593276
96	0.3003789858
97	0.2998558412
98	0.2994217568
99	0.2988053443
100	0.2983253424
101	0.2978876751
102	0.2975334135
103	0.2972384
104	0.2969050443
105	0.2965964504
106	0.2961405635
107	0.2957284972
108	0.2952893319
109	0.2948792071
110	0.2944264702
111	0.2939761948
112	0.2935212306
113	0.293142056
114	0.2927621773
115	0.2923448807
116	0.2918284513
117	0.2913996543
118	0.2909554772
119	0.2906017954
120	0.2902858739
121	0.2899571521
122	0.2893829579
123	0.28900856
124	0.2886140782
125	0.2881308515
126	0.2877576759
127	0.2871430259
128	0.2867971416
129	0.2864282913
130	0.2858275056
131	0.2852210314
132	0.2849164765
133	0.2844504388
134	0.2839635278
135	0.2834815821
136	0.2830087416
137	0.282622818
138	0.2821154691
139	0.2816726529
140	0.2813424557
141	0.2809790866
142	0.2805140244
143	0.2800966492
144	0.2797626298
145	0.279419199
146	0.2789082946
147	0.2784994543
148	0.2781267565
149	0.2776841375
150	0.2772689897
151	0.2768806777
152	0.2765505286
153	0.2760844192
154	0.2756584193
155	0.2752101066
156	0.2747501737
157	0.2744215218
158	0.2739769635
159	0.2734921652
160	0.2730787093
161	0.2725606999
162	0.2720321374
163	0.2716515633
164	0.2711948988
165	0.2707533734
166	0.270350724
167	0.2699569814
168	0.2694939379
169	0.2691137966
170	0.2686880717
171	0.2682633163
172	0.2678185012
173	0.267427458
174	0.2669493048
175	0.26649701
176	0.266048334
177	0.2655966241
178	0.2652133376
179	0.2646922577
180	0.264185067
181	0.2637736963
182	0.263372126
183	0.2628618539
184	0.2623163444
185	0.2619513055
186	0.2614037655
187	0.261017493
188	0.2604497377
189	0.2599900974
190	0.2594973487
191	0.2591127202
192	0.2585853614
193	0.2580643371
194	0.2575643592
195	0.2570928776
196	0.2565504684
197	0.2560359764
198	0.2555989841
199	0.2549406811
200	0.254515147
201	0.2539896523
202	0.2534366699
203	0.2529848621
204	0.2524306451
205	0.2520614883
206	0.2515094096
207	0.251036507
208	0.2505975208
209	0.2500547196
210	0.2494918075
211	0.249046558
212	0.2485474678
213	0.248109459
214	0.2475952779
215	0.2472181355
216	0.2466452621
217	0.2460612614
218	0.2456167546
219	0.2452055968
220	0.2447902576
221	0.2442303096
222	0.24373836
223	0.2433065173
224	0.2426974451
225	0.2422002915
226	0.2417183475
227	0.2412356531
228	0.2407411928
229	0.2402619973
230	0.2398543397
231	0.2394418143
232	0.2390142256
233	0.2385274464
234	0.2381031789
235	0.2376201462
236	0.2372334828
237	0.2367288147
238	0.2362338195
239	0.2356954123
240	0.235275082
241	0.2347728569
242	0.2343340151
243	0.2338216948
244	0.2333913327
245	0.2329021173
246	0.2324815603
247	0.2320288541
248	0.2316362498
249	0.2310973883
250	0.2306046587
251	0.2300931983
252	0.2297012187
253	0.2292983205
254	0.2289033035
255	0.2285385409
256	0.2280044288
257	0.22755276
258	0.2270208249
259	0.2265510738
260	0.2261213455
261	0.2256458194
262	0.2253221321
263	0.2248568459
264	0.2243978955
265	0.2239100908
266	0.2234623328
267	0.2229266481
268	0.222494009
269	0.2220681327
270	0.2216421654
271	0.2212145911
272	0.2208099593
273	0.2204395103
274	0.2200803489
275	0.2196781468
276	0.2191870277
277	0.2187546659
278	0.2183857255
279	0.2179409764
280	0.2174834045
281	0.2170025518
282	0.2165300292
283	0.2160309971
284	0.2156137335
285	0.2151720265
286	0.2148080281
287	0.2142999362
288	0.2137905286
289	0.2133851063
290	0.2129732664
291	0.2125343562
292	0.2121828815
293	0.2117206638
294	0.2113315969
295	0.2109671268
296	0.2105405521
297	0.2101586184
298	0.2098083485
299	0.2094594497
300	0.2091755237
301	0.208776302
302	0.2083212333
303	0.2080422169
304	0.207696839
305	0.2074420197
306	0.2070978299
307	0.2067110215
308	0.2063063568
309	0.2058632004
310	0.2055163218
311	0.2051153416
312	0.2047620494
313	0.2043448186
314	0.2039900213
315	0.2035733148
316	0.2031424986
317	0.2027138845
318	0.2023585493
319	0.2019626496
320	0.201662176
321	0.2012833975
322	0.2009616421
323	0.2005294279
324	0.2001812809
325	0.1998136817
326	0.1994472353
327	0.1991440985
328	0.1987627839
329	0.1983547315
330	0.1980499228
331	0.1977519601
332	0.1972702747
333	0.1969416373
334	0.1965624328
335	0.1962548275
336	0.1958423101
337	0.1954239625
338	0.195084534
339	0.1947342278
340	0.1943599124
341	0.1940593212
342	0.1936847405
343	0.1933101153
344	0.1929986248
345	0.1926527015
346	0.1923894618
347	0.1920427172
348	0.1916401144
349	0.1912514475
350	0.1909355699
351	0.1905944125
352	0.1902748128
353	0.1898691499
354	0.189540246
355	0.1891489339
356	0.1887346682
357	0.1883770867
358	0.1880589522
359	0.1877109591
360	0.1874268634
361	0.1871316114
362	0.1868187886
363	0.1865698318
364	0.1862367213
365	0.1859505443
366	0.1855614496
367	0.1852002798
368	0.1848599751
369	0.1843745444
370	0.1840538472
371	0.1836544743
372	0.1833162541
373	0.1829555269
374	0.1826534333
375	0.1823511144
376	0.1820006107
377	0.1817521571
378	0.1813581898
379	0.181002725
380	0.1806294435
381	0.1803291559
382	0.1799596908
383	0.1796812283
384	0.1793492432
385	0.1789934808
386	0.1786367645
387	0.1784141743
388	0.1781034552
389	0.1777494509
390	0.1774447078
391	0.1772321235
392	0.1768616378
393	0.1765333731
394	0.1761475097
395	0.1758482814
396	0.175603756
397	0.1752795488
398	0.1749704578
399	0.1746367461
400	0.1742472481
401	0.1740278955
402	0.173722789
403	0.1734740129
404	0.1731519705
405	0.1728121179
406	0.1725562932
407	0.1722064763
408	0.1718620871
409	0.1716056192
410	0.1712568283
411	0.170968368
412	0.1705602046
413	0.1702305606
414	0.1699538503
415	0.1696049317
416	0.1693697516
417	0.1690644389
418	0.1688348402
419	0.1684684545
420	0.1681942321
421	0.1678627007
422	0.1675840593
423	0.167303936
424	0.1670124041
425	0.1667345464
426	0.1664013463
427	0.1660562535
428	0.1657317319
429	0.1654704888
430	0.1651300303
431	0.1648046841
432	0.1645200054
433	0.1642398446
434	0.1639797979
435	0.163713643
436	0.1634354295
437	0.1631835734
438	0.1629303565
439	0.1625977613
440	0.1623320044
441	0.1620525178
442	0.1617698431
443	0.1614497737
444	0.1611230069
445	0.1608007558
446	0.1605207926
447	0.1602204109
448	0.1599462111
449	0.1596474572
450	0.1593363431
451	0.1590735935
452	0.1588055363
453	0.1584872124
454	0.1581753671
455	0.1578706539
456	0.1576067825
457	0.157323272
458	0.1570819669
459	0.1568237844
460	0.1564988857
461	0.1562056996
462	0.1558874699
463	0.1555182011
464	0.1553030206
465	0.1549846298
466	0.154745706
467	0.1544513341
468	0.1541533715
469	0.1539597096
470	0.1537120868
471	0.1534155943
472	0.1531191746
473	0.1528694478
474	0.1525768131
475	0.1523046155
476	0.1520695634
477	0.1518061379
478	0.1515519268
479	0.151290962
480	0.1510143954
481	0.1507781143
482	0.1504828871
483	0.1502255896
484	0.149932963
485	0.1496658512
486	0.1494290086
487	0.149144596
488	0.1489088375
489	0.1486247769
490	0.148323265
491	0.1480600718
492	0.1477997433
493	0.1475184354
494	0.1472458607
495	0.1469891352
496	0.1467623344
497	0.1465341189
498	0.146304758
499	0.1460417587
500	0.1457919021
501	0.1454421366
502	0.1452504981
503	0.1449585765
504	0.1446729306
505	0.1444279455
506	0.1441317947
507	0.1439287417
508	0.1436381648
509	0.1434152151
510	0.143166677
511	0.1428924452
512	0.1426737309
513	0.1424685386
514	0.1422374712
515	0.1420018411
516	0.1417386012
517	0.1414961475
518	0.1412607296
519	0.1409834936
520	0.1407591891
521	0.1405315806
522	0.1403154005
523	0.140063536
524	0.1398314319
525	0.1396010893
526	0.1393696573
527	0.1390981766
528	0.1388479468
529	0.1386261495
530	0.1384191138
531	0.1381493347
532	0.1379232397
533	0.1376391682
534	0.1374123298
535	0.1371692281
536	0.1369695204
537	0.1366980399
538	0.1364570404
539	0.1361970325
540	0.1359994713
541	0.135794764
542	0.1356064442
543	0.1353743258
544	0.1350988834
545	0.1348932808
546	0.1346394168
547	0.1343500376
548	0.1341745725
549	0.1339262253
550	0.133685823
551	0.1335009052
552	0.133316482
553	0.1330743751
554	0.1328557646
555	0.1326404585
556	0.1324127947
557	0.1322062358
558	0.1319903608
559	0.1317887219
560	0.1315882089
561	0.1313903654
562	0.1311594652
563	0.130937645
564	0.1307391489
565	0.1305381989
566	0.1302794818
567	0.1300914385
568	0.1298492795
569	0.1296353491
570	0.129378499
571	0.1291519833
572	0.128972557
573	0.1287580141
574	0.128583981
575	0.1283842051
576	0.128229312
577	0.1280210422
578	0.1278276166
579	0.1276531024
580	0.1274091879
581	0.1272010774
582	0.1270048337
583	0.1268397842
584	0.1266979779
585	0.1264999048
586	0.1262722754
587	0.1260894396
588	0.1258603354
589	0.1256695449
590	0.1254730143
591	0.1252004037
592	0.12498388
593	0.1247731664
594	0.1245679391
595	0.1243853772
596	0.1241574698
597	0.1239597376
598	0.12372754
599	0.1235504993
600	0.1233397688
601	0.1231240111
602	0.1228646507
603	0.1226471875
604	0.1224460532
605	0.1222663313
606	0.1220017233
607	0.1218060599
608	0.1216103562
609	0.1213965197
610	0.1212044774
611	0.1210447361
612	0.1208115344
613	0.1206497971
614	0.1204221631
615	0.1202335804
616	0.1200620166
617	0.1198752272
618	0.1196728447
619	0.1194981444
620	0.1193061647
621	0.119123262
622	0.1189506658
623	0.1186944626
624	0.1185053292
625	0.1183132973
626	0.1181040164
627	0.1179479741
628	0.1177344954
629	0.1175301163
630	0.1172976247
631	0.1170862477
632	0.1168642342
633	0.1166693081
634	0.1164555994
635	0.1162846024
636	0.1161268071
637	0.1158924646
638	0.1157253921
639	0.1155479044
640	0.1153642814
641	0.1152370552
642	0.1150503763
643	0.1148384668
644	0.1146648601
645	0.1144964551
646	0.1143050479
647	0.1141417072
