iter	Passed	Remaining
0	7	7759
1	14	7373
2	21	7243
3	28	7190
4	36	7197
5	43	7174
6	50	7134
7	57	7074
8	63	7026
9	71	7046
10	78	7026
11	84	6997
12	91	6972
13	98	6964
14	105	6937
15	112	6927
16	119	6912
17	126	6894
18	133	6911
19	140	6888
20	147	6871
21	154	6869
22	161	6846
23	168	6843
24	175	6828
25	181	6815
26	188	6796
27	195	6789
28	202	6782
29	209	6768
30	216	6760
31	223	6747
32	229	6726
33	237	6752
34	244	6748
35	251	6734
36	258	6722
37	265	6714
38	272	6702
39	278	6687
40	285	6687
41	292	6675
42	299	6671
43	306	6663
44	313	6656
45	320	6643
46	326	6629
47	334	6625
48	340	6615
49	347	6609
50	356	6628
51	363	6619
52	369	6606
53	376	6597
54	383	6589
55	390	6582
56	397	6571
57	404	6564
58	410	6554
59	417	6544
60	424	6536
61	431	6529
62	438	6521
63	445	6511
64	452	6508
65	459	6501
66	466	6495
67	473	6491
68	480	6480
69	486	6470
70	493	6463
71	500	6456
72	507	6449
73	514	6442
74	521	6436
75	528	6428
76	536	6427
77	542	6415
78	549	6407
79	556	6399
80	563	6392
81	570	6385
82	577	6377
83	584	6370
84	591	6363
85	598	6357
86	605	6349
87	612	6344
88	619	6337
89	626	6332
90	633	6325
91	640	6318
92	647	6311
93	654	6305
94	661	6299
95	668	6290
96	674	6282
97	681	6276
98	689	6272
99	696	6266
100	703	6261
101	710	6256
102	717	6250
103	724	6242
104	731	6236
105	738	6230
106	746	6231
107	753	6224
108	760	6216
109	767	6208
110	774	6201
111	782	6200
112	789	6196
113	796	6187
114	803	6184
115	831	6339
116	861	6498
117	874	6538
118	881	6529
119	888	6517
120	895	6506
121	902	6497
122	910	6491
123	917	6480
124	924	6470
125	931	6464
126	938	6453
127	946	6444
128	953	6435
129	959	6424
130	966	6413
131	973	6404
132	980	6393
133	987	6383
134	994	6372
135	1002	6371
136	1014	6393
137	1021	6383
138	1028	6371
139	1035	6360
140	1042	6348
141	1049	6339
142	1055	6328
143	1062	6317
144	1069	6307
145	1076	6297
146	1083	6286
147	1090	6277
148	1097	6267
149	1104	6257
150	1111	6247
151	1118	6237
152	1124	6226
153	1131	6215
154	1137	6203
155	1144	6193
156	1151	6182
157	1158	6173
158	1165	6164
159	1172	6157
160	1179	6147
161	1186	6139
162	1193	6129
163	1200	6119
164	1207	6110
165	1214	6100
166	1221	6091
167	1228	6082
168	1235	6074
169	1242	6065
170	1249	6057
171	1256	6049
172	1263	6041
173	1270	6032
174	1277	6023
175	1285	6016
176	1291	6006
177	1298	5997
178	1305	5987
179	1312	5978
180	1319	5970
181	1326	5962
182	1333	5952
183	1340	5943
184	1347	5936
185	1354	5928
186	1361	5919
187	1368	5910
188	1375	5903
189	1382	5894
190	1389	5886
191	1397	5880
192	1404	5871
193	1410	5861
194	1418	5854
195	1425	5845
196	1432	5839
197	1439	5831
198	1446	5824
199	1454	5816
200	1460	5807
201	1467	5798
202	1474	5789
203	1481	5781
204	1488	5773
205	1495	5766
206	1502	5756
207	1509	5748
208	1516	5740
209	1523	5732
210	1531	5725
211	1537	5716
212	1545	5709
213	1552	5701
214	1559	5693
215	1566	5685
216	1573	5677
217	1580	5670
218	1587	5662
219	1594	5653
220	1601	5645
221	1608	5637
222	1615	5630
223	1622	5622
224	1630	5614
225	1637	5608
226	1644	5601
227	1651	5592
228	1659	5586
229	1666	5577
230	1672	5569
231	1679	5561
232	1686	5553
233	1694	5545
234	1700	5537
235	1707	5528
236	1714	5519
237	1721	5511
238	1729	5506
239	1736	5498
240	1743	5490
241	1750	5482
242	1757	5475
243	1764	5467
244	1771	5459
245	1778	5452
246	1785	5443
247	1792	5436
248	1799	5428
249	1806	5420
250	1814	5413
251	1821	5405
252	1828	5398
253	1835	5390
254	1842	5382
255	1849	5375
256	1856	5367
257	1863	5359
258	1871	5353
259	1877	5344
260	1884	5336
261	1891	5328
262	1898	5320
263	1905	5313
264	1913	5306
265	1920	5299
266	1927	5291
267	1934	5284
268	1941	5275
269	1948	5268
270	1959	5270
271	1966	5262
272	1973	5254
273	1980	5246
274	1987	5238
275	1994	5231
276	2001	5223
277	2008	5215
278	2015	5208
279	2022	5199
280	2029	5192
281	2036	5184
282	2043	5177
283	2050	5168
284	2057	5162
285	2065	5155
286	2071	5147
287	2078	5139
288	2086	5132
289	2093	5124
290	2100	5116
291	2107	5108
292	2113	5100
293	2120	5092
294	2127	5085
295	2135	5077
296	2141	5070
297	2148	5062
298	2155	5054
299	2162	5045
300	2169	5037
301	2176	5030
302	2183	5022
303	2190	5014
