iter	Logloss
0	0.6763869182
1	0.6601596696
2	0.644447623
3	0.6292334515
4	0.6145003133
5	0.6002318512
6	0.5864121903
7	0.5730259343
8	0.5600581608
9	0.5474944151010	0.5353207011	11	0.5235234812	12	0.5120896713	13	0.5010066014	14	0.4902620415	15	0.4798441916	16	0.4798441917	17	0.4697416318	18	0.4599433519	19	0.4504387420	20	0.4504387421	21	0.4412175522	22	0.4322699023	23	0.4235862524	24	0.4151574425	25	0.406974602626	0.3990292232727	0.3913130732828	0.3838182442929	0.3765371133030	0.3694623393131	0.3625868523232	0.3559038453333	0.349406764334	0.3430892964335	0.3369453667336	0.3309691247337	0.3251549383338	0.319497385
39	0.3139912439
40	0.3086314888
41	0.3034132799
42	0.2983319575
43	0.2933830343
44	0.2885621897
45	0.2838652624
46	0.2792882449447	0.2748272775448	0.2704786421449	0.2662387571550	0.262104172
51	0.2580715621
52	0.2541377237
53	0.2502995696
54	0.246554124
55	0.2428985186
56	0.2393299884
57	0.2358458671558	0.2324435841559	0.2291206601660	0.2258747036161	0.2227034086262	0.2196045476363	0.216575975664	0.2136156176665	0.2107214751666	0.2078916166667	0.2051241776868	0.2024173586969	0.1997694207070	0.1971786837171	0.1946435267272	0.1921623827373	0.1897337347474	0.1873561217575	0.1850281267676	0.1827483837777	0.1805155677878	0.1783284007979	0.1761856458080	0.1740861081	81	0.1720286282	82	0.1700120783	83	0.1680353784	84	0.1660974885	85	0.1641973786	86	0.162334068787	0.1605066068888	0.158714072889	0.1569555685990	0.1552302294991	0.1535372153992	0.1518757123993	0.1502449319994	0.1486441094995	0.1470725032
96	0.1455293945
97	0.1440140859
98	0.1425259009
99	0.1410641832
121
