iter	Passed	Remaining
0	318	31492
1	338	16571
2	396	12822
3	412	9893
4	428	8133
5	444	6969
6	471	6269
7	486	5594
8	501	5066
9	509	4582
10	519	4200
11	538	3948
12	550	3685
13	559	3434
14	566	3210
15	573	3012
16	580	2835
17	587	2678
18	596	2542
19	606	2426
20	615	2316
21	626	2219
22	634	2123
23	652	2065
24	660	1981
25	667	1899
26	681	1843
27	690	1776
28	700	1716
29	709	1654
30	715	1592
31	736	1565
32	745	1514
33	755	1466
34	762	1416
35	770	1369
36	778	1325
37	787	1285
38	795	1243
39	803	1205
40	811	1167
41	818	1130
42	825	1093
43	831	1058
44	839	1026
45	846	993
46	858	967
47	866	938
48	874	909
49	881	881
50	887	853
51	897	828
52	905	802
53	911	776
54	919	752
55	926	728
56	939	708
57	949	687
58	956	664
59	963	642
60	970	620
61	978	599
62	989	581
63	1002	563
64	1013	545
65	1026	528
66	1034	509
67	1048	493
68	1055	474
69	1069	458
70	1078	440
71	1091	424
72	1109	410
73	1117	392
74	1131	377
75	1171	370
76	1218	363
77	1236	348
78	1269	337
79	1290	322
80	1298	304
81	1314	288
82	1327	271
83	1335	254
84	1344	237
85	1354	220
86	1363	203
87	1375	187
88	1384	171
89	1397	155
90	1404	138
91	1440	125
92	1456	109
93	1465	93
94	1476	77
95	1484	61
96	1505	46
97	1517	30
98	1525	15
99	1545	0
