iter	Passed	Remaining
0	0	406
1	0	442
2	1	425
3	1	433
4	2	435
5	2	466
6	3	450
7	3	441
8	3	429
9	4	415
10	4	414
11	4	408
12	5	402
13	5	402
14	6	405
15	6	394
16	6	389
17	7	398
18	7	394
19	8	392
20	8	395
21	8	394
22	9	391
23	9	387
24	9	388
25	10	387
26	10	395
27	11	398
28	13	444
29	14	458
30	15	470
31	15	469
32	15	465
33	16	462
34	16	464
35	17	463
36	17	463
37	18	461
38	18	460
39	19	459
40	19	458
41	19	456
42	20	454
43	20	451
44	21	450
45	21	452
46	22	451
47	22	450
48	23	450
49	23	452
50	24	451
51	24	450
52	25	449
53	25	449
54	26	448
55	26	446
56	26	446
57	27	448
58	28	449
59	28	448
60	29	447
61	29	444
62	29	443
63	30	441
64	30	441
65	31	442
66	31	442
67	32	441
68	32	440
69	33	439
70	33	438
71	34	438
72	34	437
73	34	435
74	35	433
75	35	432
76	35	430
77	36	428
78	36	426
79	36	425
80	37	424
81	37	423
82	38	427
83	39	427
84	39	429
85	40	433
86	41	435
87	42	437
88	42	438
89	43	438
90	44	440
91	44	440
92	45	439
93	45	438
94	45	437
95	46	437
96	46	435
97	47	435
98	47	434
99	48	433
100	48	433
101	49	433
102	49	432
103	50	431
104	50	431
105	51	430
106	51	429
107	51	427
108	52	427
109	52	426
110	53	425
111	53	423
112	54	424
113	55	429
114	55	429
115	56	428
116	56	427
117	57	426
118	57	425
119	57	424
120	58	423
121	59	424
122	59	424
123	59	423
124	60	421
125	60	421
126	61	421
127	61	420
128	62	419
129	62	418
130	63	418
131	63	417
132	63	416
133	64	415
134	64	415
135	65	414
136	65	413
137	66	412
138	66	412
139	67	411
140	68	414
141	68	414
142	69	414
143	69	415
144	70	414
145	70	413
146	71	412
147	71	412
148	71	410
149	72	410
150	72	410
151	73	409
152	74	410
153	74	410
154	74	408
155	75	408
156	76	408
157	76	407
158	76	406
159	77	406
160	78	407
161	78	407
162	79	406
163	79	405
164	80	404
165	80	406
166	81	405
167	81	404
168	82	403
169	82	403
170	83	403
171	83	402
172	84	401
173	84	401
174	84	400
175	85	399
176	85	399
177	86	398
178	86	397
179	87	398
180	87	397
181	88	397
182	88	397
183	89	396
184	89	395
185	90	394
186	90	393
187	90	392
188	91	391
189	91	390
190	92	390
191	92	389
192	93	389
193	93	389
194	94	389
195	94	388
196	95	387
197	95	386
198	95	385
199	96	385
