mean,std
feature_intelligence1,0.005267019140544521,1.3619595271826528e-06
feature_intelligence2,0.0007510952009406657,7.288118479470864e-07
feature_intelligence3,0.0007510952009406657,7.288118479470864e-07
feature_intelligence4,0.005267019140544521,1.3619595271826528e-06
feature_intelligence5,0.00013059452083365457,1.916365475232505e-07
feature_intelligence6,0.00013059452083365457,1.916365475232505e-07
feature_intelligence7,0.00013059452083365457,1.916365475232505e-07
feature_intelligence8,0.005267019140544521,1.3619595271826528e-06
feature_intelligence9,0.0007510952009406657,7.288118479470864e-07
feature_intelligence10,0.0007510952009406657,7.288118479470864e-07
feature_intelligence11,0.005267019140544521,1.3619595271826528e-06
feature_intelligence12,0.00013059452083365457,1.916365475232505e-07
feature_charisma1,0.00014268520898506074,3.2168702438918297e-07
feature_charisma2,0.000184863234036859,3.032622551169124e-07
feature_charisma3,0.00012911356938346814,2.214114653577044e-07
feature_charisma4,0.0001284672098457418,2.444783013859215e-07
feature_charisma5,0.00010745177277098448,2.0131088399450765e-07
feature_charisma6,0.005267019140544521,1.3619595271826528e-06
feature_charisma7,0.00012911356938346814,2.214114653577044e-07
feature_charisma8,0.005267019140544521,1.3619595271826528e-06
feature_charisma9,0.00014268520898506074,3.2168702438918297e-07
feature_charisma10,5.7787689627179385e-05,1.4630293634026395e-07
feature_charisma11,0.0003500285893972924,3.7693437146453574e-07
feature_charisma12,0.005267019140544521,1.3619595271826528e-06
feature_charisma13,6.471430452770324e-05,1.312981943155174e-07
feature_charisma14,0.005267019140544521,1.3619595271826528e-06
feature_charisma15,0.005267019140544521,1.3619595271826528e-06
feature_charisma16,0.005267019140544521,1.3619595271826528e-06
feature_charisma17,0.0001284672098457418,2.444783013859215e-07
feature_charisma18,0.005267019140544521,1.3619595271826528e-06
feature_charisma19,0.00014268520898506074,3.2168702438918297e-07
feature_charisma20,6.373118123487391e-05,1.554199959828387e-07
feature_charisma21,0.0003500285893972924,3.7693437146453574e-07
feature_charisma22,0.00021412283982169685,3.097710170820293e-07
feature_charisma23,0.000184863234036859,3.032622551169124e-07
feature_charisma24,0.000184863234036859,3.032622551169124e-07
feature_charisma25,0.00021412283982169685,3.097710170820293e-07
feature_charisma26,0.005267019140544521,1.3619595271826528e-06
feature_charisma27,0.0003500285893972924,3.7693437146453574e-07
feature_charisma28,0.0003500285893972924,3.7693437146453574e-07
feature_charisma29,0.005267019140544521,1.3619595271826528e-06
feature_charisma30,0.0001284672098457418,2.444783013859215e-07
feature_charisma31,0.005267019140544521,1.3619595271826528e-06
feature_charisma32,0.00011058530095055265,1.9040918005789344e-07
feature_charisma33,0.005267019140544521,1.3619595271826528e-06
feature_charisma34,0.005267019140544521,1.3619595271826528e-06
feature_charisma35,0.005267019140544521,1.3619595271826528e-06
feature_charisma36,0.0003500285893972924,3.7693437146453574e-07
feature_charisma37,0.005267019140544521,1.3619595271826528e-06
feature_charisma38,0.0001284672098457418,2.444783013859215e-07
feature_charisma39,0.000184863234036859,3.032622551169124e-07
feature_charisma40,0.005267019140544521,1.3619595271826528e-06
feature_charisma41,0.00010745177277098448,2.0131088399450765e-07
feature_charisma42,0.005267019140544521,1.3619595271826528e-06
feature_charisma43,0.0007510952009406657,7.288118479470864e-07
feature_charisma44,5.716655605239613e-05,1.3291657552681933e-07
feature_charisma45,0.00012911356938346814,2.214114653577044e-07
feature_charisma46,0.005267019140544521,1.3619595271826528e-06
feature_charisma47,0.00021412283982169685,3.097710170820293e-07
feature_charisma48,0.00011058530095055265,1.9040918005789344e-07
feature_charisma49,0.00021412283982169685,3.097710170820293e-07
feature_charisma50,6.471430452770324e-05,1.312981943155174e-07
feature_charisma51,0.005267019140544521,1.3619595271826528e-06
feature_charisma52,0.005267019140544521,1.3619595271826528e-06
feature_charisma53,0.0003500285893972924,3.7693437146453574e-07
feature_charisma54,0.005267019140544521,1.3619595271826528e-06
feature_charisma55,0.005267019140544521,1.3619595271826528e-06
feature_charisma56,0.00021412283982169685,3.097710170820293e-07
feature_charisma57,6.29160884219187e-05,1.4415812527225703e-07
feature_charisma58,0.0003500285893972924,3.7693437146453574e-07
