mean,std
feature_intelligence1,2.751947623822228e-05,5.254690535919357e-07
feature_intelligence2,0.004772229033390741,1.1206430834782206e-06
feature_intelligence3,0.004772229033390741,1.1206430834782206e-06
feature_intelligence4,2.968669756439125e-05,6.575482452364621e-07
feature_intelligence5,0.004772229033390741,1.1206430834782206e-06
feature_intelligence6,5.128366141546819e-05,1.1038301085321608e-07
feature_intelligence7,5.128366141546819e-05,1.1038301085321608e-07
feature_intelligence8,2.941838759214042e-05,9.740992723302374e-07
feature_intelligence9,4.941352548171815e-05,1.743157649015843e-07
feature_intelligence10,4.941352548171815e-05,1.743157649015843e-07
feature_intelligence11,2.861606357649791e-05,4.388749698727654e-07
feature_intelligence12,0.004772229033390741,1.1206430834782206e-06
feature_charisma1,0.004772229033390741,1.1206430834782206e-06
feature_charisma2,0.004772229033390741,1.1206430834782206e-06
feature_charisma3,2.5632833405305573e-05,7.644074716446614e-08
feature_charisma4,0.004772229033390741,1.1206430834782206e-06
feature_charisma5,4.28794986663511e-05,1.072991598346676e-07
feature_charisma6,0.004772229033390741,1.1206430834782206e-06
feature_charisma7,2.4592569989557605e-05,7.08755894888217e-08
feature_charisma8,4.1379719854742456e-05,9.768955601760923e-08
feature_charisma9,5.639395669215708e-05,1.601874101146675e-07
feature_charisma10,2.2671714719517517e-05,7.423051581245946e-08
feature_charisma11,0.004772229033390741,1.1206430834782206e-06
feature_charisma12,0.004772229033390741,1.1206430834782206e-06
feature_charisma13,0.004772229033390741,1.1206430834782206e-06
feature_charisma14,0.004772229033390741,1.1206430834782206e-06
feature_charisma15,4.1379719854742456e-05,9.768955601760923e-08
feature_charisma16,0.004772229033390741,1.1206430834782206e-06
feature_charisma17,0.004772229033390741,1.1206430834782206e-06
feature_charisma18,0.004772229033390741,1.1206430834782206e-06
feature_charisma19,0.004772229033390741,1.1206430834782206e-06
feature_charisma20,0.004772229033390741,1.1206430834782206e-06
feature_charisma21,0.004772229033390741,1.1206430834782206e-06
feature_charisma22,0.004772229033390741,1.1206430834782206e-06
feature_charisma23,0.004772229033390741,1.1206430834782206e-06
feature_charisma24,0.004772229033390741,1.1206430834782206e-06
feature_charisma25,3.7157207938044343e-05,9.516047513901338e-08
feature_charisma26,0.004772229033390741,1.1206430834782206e-06
feature_charisma27,1.8693981178248867e-05,7.788984097479152e-08
feature_charisma28,0.004772229033390741,1.1206430834782206e-06
feature_charisma29,0.004772229033390741,1.1206430834782206e-06
feature_charisma30,0.004772229033390741,1.1206430834782206e-06
feature_charisma31,0.004772229033390741,1.1206430834782206e-06
feature_charisma32,2.098437711610211e-05,7.314886147182054e-08
feature_charisma33,0.004772229033390741,1.1206430834782206e-06
feature_charisma34,0.004772229033390741,1.1206430834782206e-06
feature_charisma35,0.004772229033390741,1.1206430834782206e-06
feature_charisma36,0.004772229033390741,1.1206430834782206e-06
feature_charisma37,0.004772229033390741,1.1206430834782206e-06
feature_charisma38,0.004772229033390741,1.1206430834782206e-06
feature_charisma39,0.004772229033390741,1.1206430834782206e-06
feature_charisma40,0.004772229033390741,1.1206430834782206e-06
feature_charisma41,4.136716916632901e-05,9.650894013974433e-08
feature_charisma42,0.004772229033390741,1.1206430834782206e-06
feature_charisma43,0.004772229033390741,1.1206430834782206e-06
feature_charisma44,9.099231551605611e-05,1.8414180546054287e-07
feature_charisma45,2.5938339460247914e-05,8.446152777414511e-08
feature_charisma46,0.004772229033390741,1.1206430834782206e-06
feature_charisma47,3.7157207938044343e-05,9.516047513901338e-08
feature_charisma48,2.0914703473659428e-05,7.344772819234096e-08
feature_charisma49,0.004772229033390741,1.1206430834782206e-06
feature_charisma50,0.004772229033390741,1.1206430834782206e-06
feature_charisma51,0.004772229033390741,1.1206430834782206e-06
feature_charisma52,0.004772229033390741,1.1206430834782206e-06
feature_charisma53,0.004772229033390741,1.1206430834782206e-06
feature_charisma54,0.004772229033390741,1.1206430834782206e-06
feature_charisma55,0.004772229033390741,1.1206430834782206e-06
feature_charisma56,0.004772229033390741,1.1206430834782206e-06
feature_charisma57,4.9197542366965375e-05,1.1240532786591048e-07
feature_charisma58,0.004772229033390741,1.1206430834782206e-06
feature_charisma59,4.136716916632901e-05,9.650894013974433e-08
feature_charisma60,0.004772229033390741,1.1206430834782206e-06
feature_charisma61,0.004772229033390741,1.1206430834782206e-06
feature_charisma62,0.004772229033390741,1.1206430834782206e-06
feature_charisma63,0.004772229033390741,1.1206430834782206e-06
feature_charisma64,0.004772229033390741,1.1206430834782206e-06
feature_charisma65,0.004772229033390741,1.1206430834782206e-06
feature_charisma66,0.004772229033390741,1.1206430834782206e-06
feature_charisma67,0.004772229033390741,1.1206430834782206e-06
feature_charisma68,0.004772229033390741,1.1206430834782206e-06
feature_charisma69,5.639395669215708e-05,1.601874101146675e-07
feature_charisma70,0.004772229033390741,1.1206430834782206e-06
feature_charisma71,0.004772229033390741,1.1206430834782206e-06
feature_charisma72,2.4774166264759603e-05,7.081300364105515e-08
feature_charisma73,0.004772229033390741,1.1206430834782206e-06
feature_charisma74,9.099231551605611e-05,1.8414180546054287e-07
feature_charisma75,0.004772229033390741,1.1206430834782206e-06
feature_charisma76,0.004772229033390741,1.1206430834782206e-06
feature_charisma77,1.8827658700869268e-05,1.1431502508362157e-07
feature_charisma78,2.2432191659232567e-05,7.937159923670815e-08
feature_charisma79,4.28794986663511e-05,1.072991598346676e-07
feature_charisma80,0.004772229033390741,1.1206430834782206e-06
feature_charisma81,0.004772229033390741,1.1206430834782206e-06
feature_charisma82,0.004772229033390741,1.1206430834782206e-06
feature_charisma83,4.9197542366965375e-05,1.1240532786591048e-07
feature_charisma84,0.004772229033390741,1.1206430834782206e-06
feature_charisma85,0.004772229033390741,1.1206430834782206e-06
feature_charisma86,0.004772229033390741,1.1206430834782206e-06
feature_strength1,0.004772229033390741,1.1206430834782206e-06
feature_strength2,0.004772229033390741,1.1206430834782206e-06
feature_strength3,4.740013327705878e-05,2.0180626957992126e-07
feature_strength4,0.004772229033390741,1.1206430834782206e-06
feature_strength5,0.004772229033390741,1.1206430834782206e-06
feature_strength6,3.913659040178112e-05,1.0692775168443809e-07
feature_strength7,0.004772229033390741,1.1206430834782206e-06
feature_strength8,0.004772229033390741,1.1206430834782206e-06
feature_strength9,0.004772229033390741,1.1206430834782206e-06
feature_strength10,4.75699672812506e-05,1.224531776476347e-07
feature_strength11,0.004772229033390741,1.1206430834782206e-06
feature_strength12,9.099231551605611e-05,1.8414180546054287e-07
feature_strength13,0.004772229033390741,1.1206430834782206e-06
feature_strength14,4.796806017618927e-05,1.0452478142868862e-07
feature_strength15,0.004772229033390741,1.1206430834782206e-06
feature_strength16,0.004772229033390741,1.1206430834782206e-06
feature_strength17,3.913659040178112e-05,1.0692775168443809e-07
feature_strength18,0.004772229033390741,1.1206430834782206e-06
feature_strength19,4.740013327705878e-05,2.0180626957992126e-07
feature_strength20,2.6708969649401563e-05,7.874006674895433e-08
feature_strength21,0.004772229033390741,1.1206430834782206e-06
feature_strength22,0.004772229033390741,1.1206430834782206e-06
feature_strength23,0.004772229033390741,1.1206430834782206e-06
feature_strength24,4.6827152660811913e-05,1.1155758924426288e-07
feature_strength25,4.641089803561868e-05,1.8799766763407782e-07
feature_strength26,0.004772229033390741,1.1206430834782206e-06
feature_strength27,0.004772229033390741,1.1206430834782206e-06
feature_strength28,0.004772229033390741,1.1206430834782206e-06
feature_strength29,4.6827152660811913e-05,1.1155758924426288e-07
feature_strength30,9.099231551605611e-05,1.8414180546054287e-07
feature_strength31,4.641089803561868e-05,1.8799766763407782e-07
feature_strength32,0.004772229033390741,1.1206430834782206e-06
feature_strength33,0.004772229033390741,1.1206430834782206e-06
feature_strength34,4.796806017618927e-05,1.0452478142868862e-07
feature_strength35,0.004772229033390741,1.1206430834782206e-06
feature_strength36,4.75699672812506e-05,1.224531776476347e-07
feature_strength37,0.004772229033390741,1.1206430834782206e-06
feature_strength38,2.6708969649401563e-05,7.874006674895433e-08
feature_dexterity1,5.228931725154004e-05,1.5339371913452396e-07
feature_dexterity2,0.004772229033390741,1.1206430834782206e-06
feature_dexterity3,0.004772229033390741,1.1206430834782206e-06
feature_dexterity4,0.004772229033390741,1.1206430834782206e-06
feature_dexterity5,0.004772229033390741,1.1206430834782206e-06
feature_dexterity6,0.004772229033390741,1.1206430834782206e-06
feature_dexterity7,0.004772229033390741,1.1206430834782206e-06
feature_dexterity8,0.004772229033390741,1.1206430834782206e-06
feature_dexterity9,5.228931725154004e-05,1.5339371913452396e-07
feature_dexterity10,0.004772229033390741,1.1206430834782206e-06
feature_dexterity11,0.004772229033390741,1.1206430834782206e-06
feature_dexterity12,0.004772229033390741,1.1206430834782206e-06
feature_dexterity13,0.004772229033390741,1.1206430834782206e-06
feature_dexterity14,0.004772229033390741,1.1206430834782206e-06
feature_constitution1,0.00016926213362596283,3.165633037343655e-07
feature_constitution2,0.00020303392090345848,4.998077681824862e-07
feature_constitution3,4.598528976324033e-05,1.2231916222812403e-07
feature_constitution4,0.004772229033390741,1.1206430834782206e-06
feature_constitution5,0.004772229033390741,1.1206430834782206e-06
feature_constitution6,0.004772229033390741,1.1206430834782206e-06
feature_constitution7,0.004772229033390741,1.1206430834782206e-06
feature_constitution8,0.004772229033390741,1.1206430834782206e-06
feature_constitution9,0.004772229033390741,1.1206430834782206e-06
feature_constitution10,0.004772229033390741,1.1206430834782206e-06
