mean,std
feature_intelligence1,0.0003145989978446718,4.63175032674291e-06
feature_intelligence2,0.00029539445603271207,9.487973074392098e-07
feature_intelligence3,0.00029539445603271207,9.487973074392098e-07
feature_intelligence4,0.00033377176242311315,5.159760255558994e-06
feature_intelligence5,0.003250487094467272,3.6519876845150538e-06
feature_intelligence6,0.00028675868970262923,5.823976715518699e-07
feature_intelligence7,0.00028675868970262923,5.823976715518699e-07
feature_intelligence8,0.0003145989978446718,4.63175032674291e-06
feature_intelligence9,0.00027565508572714454,9.725797894352242e-07
feature_intelligence10,0.00027565508572714454,9.725797894352242e-07
feature_intelligence11,0.00033377176242311315,5.159760255558994e-06
feature_intelligence12,0.003250487094467272,3.6519876845150538e-06
feature_charisma1,0.006697038373812617,4.951078615511419e-06
feature_charisma2,0.006697038373812617,4.951078615511419e-06
feature_charisma3,0.00028988137857205773,7.14428278402403e-07
feature_charisma4,0.0001414019026239439,4.2081327973755045e-07
feature_charisma5,0.002240368745046918,2.643336554349498e-06
feature_charisma6,0.006697038373812617,4.951078615511419e-06
feature_charisma7,0.006999740742645531,4.584688991818227e-06
feature_charisma8,0.0002326413004744484,5.52435560549066e-07
feature_charisma9,0.0003173515130196688,7.445428570179333e-07
feature_charisma10,0.0001275507316749257,4.2336731423162154e-07
feature_charisma11,0.00013671218330321564,5.122228262504103e-07
feature_charisma12,0.006697038373812617,4.951078615511419e-06
feature_charisma13,0.0002822260405193634,7.055756397410702e-07
feature_charisma14,0.006697038373812617,4.951078615511419e-06
feature_charisma15,0.0002326413004744484,5.52435560549066e-07
feature_charisma16,0.006697038373812617,4.951078615511419e-06
feature_charisma17,0.006697038373812617,4.951078615511419e-06
feature_charisma18,0.006697038373812617,4.951078615511419e-06
feature_charisma19,0.006697038373812617,4.951078615511419e-06
feature_charisma20,0.006697038373812617,4.951078615511419e-06
feature_charisma21,0.006697038373812617,4.951078615511419e-06
feature_charisma22,0.006697038373812617,4.951078615511419e-06
feature_charisma23,0.006697038373812617,4.951078615511419e-06
feature_charisma24,0.006697038373812617,4.951078615511419e-06
feature_charisma25,0.0002066433133233044,6.260563779269639e-07
feature_charisma26,0.006697038373812617,4.951078615511419e-06
feature_charisma27,0.00021084693134226735,7.011512296174303e-07
feature_charisma28,0.006697038373812617,4.951078615511419e-06
feature_charisma29,0.006697038373812617,4.951078615511419e-06
feature_charisma30,0.006697038373812617,4.951078615511419e-06
feature_charisma31,0.006697038373812617,4.951078615511419e-06
feature_charisma32,0.00023435466490520312,6.42929848584671e-07
feature_charisma33,0.006697038373812617,4.951078615511419e-06
feature_charisma34,0.006697038373812617,4.951078615511419e-06
feature_charisma35,0.006697038373812617,4.951078615511419e-06
feature_charisma36,0.006697038373812617,4.951078615511419e-06
feature_charisma37,0.006697038373812617,4.951078615511419e-06
feature_charisma38,0.006697038373812617,4.951078615511419e-06
feature_charisma39,0.006697038373812617,4.951078615511419e-06
feature_charisma40,0.006697038373812617,4.951078615511419e-06
feature_charisma41,0.002240368745046918,2.643336554349498e-06
feature_charisma42,0.006697038373812617,4.951078615511419e-06
feature_charisma43,0.0005847525551585502,1.0328074365667783e-06
feature_charisma44,0.002240368745046918,2.643336554349498e-06
feature_charisma45,0.00028988137857205773,7.14428278402403e-07
feature_charisma46,0.000288514819356906,6.397748318656655e-07
feature_charisma47,0.0002066433133233044,6.260563779269639e-07
feature_charisma48,0.00023435466490520312,6.42929848584671e-07
feature_charisma49,0.00024766000729899027,5.644557187183188e-07
feature_charisma50,0.0002822260405193634,7.055756397410702e-07
feature_charisma51,0.006697038373812617,4.951078615511419e-06
feature_charisma52,0.006697038373812617,4.951078615511419e-06
feature_charisma53,0.006697038373812617,4.951078615511419e-06
feature_charisma54,0.006697038373812617,4.951078615511419e-06
feature_charisma55,0.006697038373812617,4.951078615511419e-06
feature_charisma56,0.006697038373812617,4.951078615511419e-06
feature_charisma57,0.003250487094467272,3.6519876845150538e-06
feature_charisma58,0.00013527715755868084,4.7646622872382725e-07
feature_charisma59,0.002240368745046918,2.643336554349498e-06
feature_charisma60,0.006697038373812617,4.951078615511419e-06
feature_charisma61,0.006697038373812617,4.951078615511419e-06
feature_charisma62,0.006697038373812617,4.951078615511419e-06
feature_charisma63,0.0005847525551585502,1.0328074365667783e-06
feature_charisma64,0.006697038373812617,4.951078615511419e-06
feature_charisma65,0.006697038373812617,4.951078615511419e-06
feature_charisma66,0.000288514819356906,6.397748318656655e-07
