mean,std
feature_intelligence1,0.0015416032601206445,3.0147375759846752e-05
feature_intelligence2,0.0014363459488041712,4.840455566402425e-06
feature_intelligence3,0.0014363459488041712,4.840455566402425e-06
feature_intelligence4,0.0016436383703858498,2.422208031706143e-05
feature_intelligence5,0.0013868598873904327,2.9409674419329787e-06
feature_intelligence6,0.0013910607794825056,2.9305724593409385e-06
feature_intelligence7,0.0013910607794825056,2.9305724593409385e-06
feature_intelligence8,0.0015416032601206445,3.0147375759846752e-05
feature_intelligence9,0.0013384842429180464,4.79074968930141e-06
feature_intelligence10,0.0013384842429180464,4.79074968930141e-06
feature_intelligence11,0.0016436383703858498,2.422208031706143e-05
feature_intelligence12,0.0013868598873904327,2.9409674419329787e-06
feature_charisma1,0.001501921100619087,4.284915830274882e-06
feature_charisma2,0.004045158480910246,5.963875175262798e-06
feature_charisma3,0.0006959774107316969,2.537024442142387e-06
feature_charisma4,0.0027454442395142796,4.608100462248507e-06
feature_charisma5,0.0023004752232243368,4.113674779053148e-06
feature_charisma6,0.004131864537680435,6.512394786447598e-06
feature_charisma7,0.0006679259010793828,2.075474757743455e-06
feature_charisma8,0.001131467864916748,2.7811181379567694e-06
feature_charisma9,0.0015432412183528084,3.915470164481923e-06
feature_charisma10,0.0012350271384962614,3.007525913091919e-06
feature_charisma11,0.003929691008374195,6.223904308844561e-06
feature_charisma12,0.004045158480910246,5.963875175262798e-06
feature_charisma13,0.004001062454358519,5.99372420785751e-06
feature_charisma14,0.004054344751012583,6.32429232588177e-06
feature_charisma15,0.001131467864916748,2.7811181379567694e-06
feature_charisma16,0.010513836404512407,1.091575327581477e-05
feature_charisma17,0.0027454442395142796,4.608100462248507e-06
feature_charisma18,0.010513836404512407,1.091575327581477e-05
feature_charisma19,0.001501921100619087,4.284915830274882e-06
feature_charisma20,0.004045158480910246,5.963875175262798e-06
feature_charisma21,0.003929691008374195,6.223904308844561e-06
feature_charisma22,0.0023689569591523255,4.314141261973317e-06
feature_charisma23,0.004001062454358519,5.99372420785751e-06
feature_charisma24,0.004045158480910246,5.963875175262798e-06
feature_charisma25,0.001013497448089677,2.6797236603904316e-06
feature_charisma26,0.010513836404512407,1.091575327581477e-05
feature_charisma27,0.0010192696013515746,2.7881339194523867e-06
feature_charisma28,0.003929691008374195,6.223904308844561e-06
feature_charisma29,0.010513836404512407,1.091575327581477e-05
feature_charisma30,0.0027454442395142796,4.608100462248507e-06
feature_charisma31,0.004054344751012583,6.32429232588177e-06
feature_charisma32,0.0011452881287222377,2.9638302064923036e-06
feature_charisma33,0.004054344751012583,6.32429232588177e-06
feature_charisma34,0.004131864537680435,6.512394786447598e-06
feature_charisma35,0.010513836404512407,1.091575327581477e-05
feature_charisma36,0.003929691008374195,6.223904308844561e-06
feature_charisma37,0.010513836404512407,1.091575327581477e-05
feature_charisma38,0.0027454442395142796,4.608100462248507e-06
feature_charisma39,0.004001062454358519,5.99372420785751e-06
feature_charisma40,0.010513836404512407,1.091575327581477e-05
feature_charisma41,0.0023004752232243368,4.113674779053148e-06
feature_charisma42,0.010513836404512407,1.091575327581477e-05
feature_charisma43,0.0028352302975047376,5.357650138122383e-06
feature_charisma44,0.0024758617530584344,4.180260842861399e-06
feature_charisma45,0.0006988631464665118,2.4028976024997193e-06
feature_charisma46,0.004131864537680435,6.512394786447598e-06
feature_charisma47,0.001013497448089677,2.6797236603904316e-06
feature_charisma48,0.0011452881287222377,2.9638302064923036e-06
feature_charisma49,0.0012051009463552493,3.0081627866635103e-06
feature_charisma50,0.004001062454358519,5.99372420785751e-06
feature_charisma51,0.004054344751012583,6.32429232588177e-06
feature_charisma52,0.004054344751012583,6.32429232588177e-06
feature_charisma53,0.003929691008374195,6.223904308844561e-06
feature_charisma54,0.004131864537680435,6.512394786447598e-06
feature_charisma55,0.004131864537680435,6.512394786447598e-06
feature_charisma56,0.0023689569591523255,4.314141261973317e-06
feature_charisma57,0.0013425910090631944,3.0354953473414574e-06
feature_charisma58,0.003929691008374195,6.223904308844561e-06
feature_charisma59,0.0023004752232243368,4.113674779053148e-06
feature_charisma60,0.0023689569591523255,4.314141261973317e-06
feature_charisma61,0.010513836404512407,1.091575327581477e-05
feature_charisma62,0.004054344751012583,6.32429232588177e-06
feature_charisma63,0.0028352302975047376,5.357650138122383e-06
feature_charisma64,0.004045158480910246,5.963875175262798e-06
feature_charisma65,0.0023689569591523255,4.314141261973317e-06
feature_charisma66,0.004131864537680435,6.512394786447598e-06
feature_charisma67,0.010513836404512407,1.091575327581477e-05
feature_charisma68,0.004001062454358519,5.99372420785751e-06
feature_charisma69,0.0015432412183528084,3.915470164481923e-06
feature_charisma70,0.0028352302975047376,5.357650138122383e-06
feature_charisma71,0.010513836404512407,1.091575327581477e-05
feature_charisma72,0.0006736903529869795,2.0276397374874475e-06
feature_charisma73,0.0012051009463552493,3.0081627866635103e-06
feature_charisma74,0.0024758617530584344,4.180260842861399e-06
feature_charisma75,0.010513836404512407,1.091575327581477e-05
feature_charisma76,0.010513836404512407,1.091575327581477e-05
feature_charisma77,0.0010192696013515746,2.7881339194523867e-06
feature_charisma78,0.0012350271384962614,3.007525913091919e-06
feature_charisma79,0.0023004752232243368,4.113674779053148e-06
feature_charisma80,0.004045158480910246,5.963875175262798e-06
feature_charisma81,0.010513836404512407,1.091575327581477e-05
feature_charisma82,0.004001062454358519,5.99372420785751e-06
feature_charisma83,0.0013425910090631944,3.0354953473414574e-06
feature_charisma84,0.010513836404512407,1.091575327581477e-05
feature_charisma85,0.0028352302975047376,5.357650138122383e-06
feature_charisma86,0.010513836404512407,1.091575327581477e-05
feature_strength1,0.0024069151837289525,3.887816966192764e-06
feature_strength2,0.0022886056382204986,4.487630684675465e-06
feature_strength3,0.0012933546848599643,6.236295187029738e-06
feature_strength4,0.0024069151837289525,3.887816966192764e-06
feature_strength5,0.0018689592007114218,6.93533235713524e-06
feature_strength6,0.0010718056831956742,3.063150984518577e-06
feature_strength7,0.003678781751369687,4.8902095638204355e-06
feature_strength8,0.003678781751369687,4.8902095638204355e-06
feature_strength9,0.003672834548042807,4.977233484906573e-06
feature_strength10,0.002583570118486033,5.561691019406855e-06
feature_strength11,0.0024069151837289525,3.887816966192764e-06
feature_strength12,0.0024758617530584344,4.180260842861399e-06
feature_strength13,0.0018689592007114218,6.93533235713524e-06
feature_strength14,0.0013109210101507395,3.0468813228672294e-06
feature_strength15,0.003672834548042807,4.977233484906573e-06
feature_strength16,0.004289352838940375,8.813283214171137e-06
feature_strength17,0.0010718056831956742,3.063150984518577e-06
feature_strength18,0.003678781751369687,4.8902095638204355e-06
feature_strength19,0.0012933546848599643,6.236295187029738e-06
feature_strength20,0.000730425458505878,2.2210355211157585e-06
feature_strength21,0.0024069151837289525,3.887816966192764e-06
feature_strength22,0.003672834548042807,4.977233484906573e-06
feature_strength23,0.004289352838940375,8.813283214171137e-06
feature_strength24,0.002583570118486033,5.561691019406855e-06
feature_strength25,0.0012644555379694828,4.965859413083308e-06
feature_strength26,0.003672834548042807,4.977233484906573e-06
feature_strength27,0.003672834548042807,4.977233484906573e-06
feature_strength28,0.003678781751369687,4.8902095638204355e-06
feature_strength29,0.002583570118486033,5.561691019406855e-06
feature_strength30,0.0024758617530584344,4.180260842861399e-06
feature_strength31,0.0012644555379694828,4.965859413083308e-06
feature_strength32,0.0022886056382204986,4.487630684675465e-06
feature_strength33,0.003672834548042807,4.977233484906573e-06
feature_strength34,0.0013109210101507395,3.0468813228672294e-06
feature_strength35,0.003678781751369687,4.8902095638204355e-06
feature_strength36,0.002583570118486033,5.561691019406855e-06
feature_strength37,0.003678781751369687,4.8902095638204355e-06
feature_strength38,0.000730425458505878,2.2210355211157585e-06
feature_dexterity1,0.001430809966847206,4.008365854187712e-06
feature_dexterity2,0.002803392970320262,7.404934334688712e-06
feature_dexterity3,0.00612633165633392,1.1020217077022693e-05
feature_dexterity4,0.00612633165633392,1.1020217077022693e-05
feature_dexterity5,0.002803392970320262,7.404934334688712e-06
feature_dexterity6,0.00612633165633392,1.1020217077022693e-05
feature_dexterity7,0.00612633165633392,1.1020217077022693e-05
feature_dexterity8,0.00612633165633392,1.1020217077022693e-05
feature_dexterity9,0.001430809966847206,4.008365854187712e-06
feature_dexterity10,0.002803392970320262,7.404934334688712e-06
feature_dexterity11,0.00612633165633392,1.1020217077022693e-05
feature_dexterity12,0.00612633165633392,1.1020217077022693e-05
feature_dexterity13,0.002803392970320262,7.404934334688712e-06
feature_dexterity14,0.00612633165633392,1.1020217077022693e-05
feature_constitution1,0.004605908301292418,8.009277095337726e-06
feature_constitution2,0.0024303220354357584,1.0306371697132575e-05
feature_constitution3,0.0012526282783563974,3.071984315483759e-06
feature_constitution4,0.0021676794350842686,6.006908104533749e-06
feature_constitution5,0.004750627636739649,7.287599396244622e-06
feature_constitution6,0.004750627636739649,7.287599396244622e-06
feature_constitution7,0.0024697130455816657,4.511560186860037e-06
feature_constitution8,0.001225194517109506,2.829731971275262e-06
feature_constitution9,0.004575372835221679,8.232091483702394e-06
feature_constitution10,0.004750627636739649,7.287599396244622e-06
feature_constitution11,0.0022886056382204986,4.487630684675465e-06
feature_constitution12,0.002743986322981132,4.886617827764068e-06
feature_constitution13,0.0024697130455816657,4.511560186860037e-06
feature_constitution14,0.0023173308803462254,4.21598966873143e-06
feature_constitution15,0.002394950836944472,5.106206647280168e-06
feature_constitution16,0.0011731829937467958,2.7489354927438402e-06
feature_constitution17,0.001225194517109506,2.829731971275262e-06
feature_constitution18,0.002373428780666668,4.473720602776846e-06
feature_constitution19,0.0021676794350842686,6.006908104533749e-06
feature_constitution20,0.004605908301292418,8.009277095337726e-06
feature_constitution21,0.0011735818329848633,2.5917043382574704e-06
feature_constitution22,0.002279623763152829,4.2801967536401e-06
feature_constitution23,0.0012526282783563974,3.071984315483759e-06
feature_constitution24,0.002394950836944472,5.106206647280168e-06
feature_constitution25,0.002279623763152829,4.2801967536401e-06
feature_constitution26,0.004605908301292418,8.009277095337726e-06
feature_constitution27,0.0024697130455816657,4.511560186860037e-06
feature_constitution28,0.0022886056382204986,4.487630684675465e-06
feature_constitution29,0.0013231630625375659,4.287910344786086e-06
feature_constitution30,0.00230326681315647,4.3303560633516614e-06
feature_constitution31,0.0013216153567880567,6.346016840627253e-06
feature_constitution32,0.004750627636739649,7.287599396244622e-06
feature_constitution33,0.004575372835221679,8.232091483702394e-06
feature_constitution34,0.004289352838940375,8.813283214171137e-06
feature_constitution35,0.004289352838940375,8.813283214171137e-06
feature_constitution36,0.004289352838940375,8.813283214171137e-06
feature_constitution37,0.002394950836944472,5.106206647280168e-06
feature_constitution38,0.0024246468496608004,4.023733479501442e-06
feature_constitution39,0.002373428780666668,4.473720602776846e-06
feature_constitution40,0.0011731829937467958,2.7489354927438402e-06
feature_constitution41,0.0012227743418097132,4.000366770287454e-06
feature_constitution42,0.00230326681315647,4.3303560633516614e-06
feature_constitution43,0.004605908301292418,8.009277095337726e-06
feature_constitution44,0.002405811204858693,7.426576286910761e-06
feature_constitution45,0.004575372835221679,8.232091483702394e-06
feature_constitution46,0.002392855533794777,4.3354840330313295e-06
feature_constitution47,0.004575372835221679,8.232091483702394e-06
feature_constitution48,0.004750627636739649,7.287599396244622e-06
feature_constitution49,0.0021676794350842686,6.006908104533749e-06
feature_constitution50,0.0013231630625375659,4.287910344786086e-06
feature_constitution51,0.0023173308803462254,4.21598966873143e-06
feature_constitution52,0.002743986322981132,4.886617827764068e-06
feature_constitution53,0.0012402921643333597,3.1586136870238884e-06
feature_constitution54,0.004575372835221679,8.232091483702394e-06
feature_constitution55,0.002405811204858693,7.426576286910761e-06
feature_constitution56,0.0024919678022713118,4.959930398577605e-06
feature_constitution57,0.004750627636739649,7.287599396244622e-06
feature_constitution58,0.003689930513330694,4.715284524398879e-06
feature_constitution59,0.00230326681315647,4.3303560633516614e-06
feature_constitution60,0.004575372835221679,8.232091483702394e-06
feature_constitution61,0.0023173308803462254,4.21598966873143e-06
feature_constitution62,0.004605908301292418,8.009277095337726e-06
feature_constitution63,0.0024303220354357584,1.0306371697132575e-05
feature_constitution64,0.002310742887061806,3.998486808872183e-06
feature_constitution65,0.0024303220354357584,1.0306371697132575e-05
feature_constitution66,0.002405811204858693,7.426576286910761e-06
feature_constitution67,0.0024246468496608004,4.023733479501442e-06
feature_constitution68,0.003689930513330694,4.715284524398879e-06
feature_constitution69,0.002743986322981132,4.886617827764068e-06
feature_constitution70,0.0011735818329848633,2.5917043382574704e-06
feature_constitution71,0.0012402921643333597,3.1586136870238884e-06
feature_constitution72,0.002415361698501618,4.5552747555534e-06
feature_constitution73,0.0024303220354357584,1.0306371697132575e-05
feature_constitution74,0.004750627636739649,7.287599396244622e-06
feature_constitution75,0.002279623763152829,4.2801967536401e-06
feature_constitution76,0.003689930513330694,4.715284524398879e-06
feature_constitution77,0.004750627636739649,7.287599396244622e-06
feature_constitution78,0.0021676794350842686,6.006908104533749e-06
feature_constitution79,0.0024697130455816657,4.511560186860037e-06
feature_constitution80,0.004605908301292418,8.009277095337726e-06
feature_constitution81,0.00230326681315647,4.3303560633516614e-06
feature_constitution82,0.002394950836944472,5.106206647280168e-06
feature_constitution83,0.003689930513330694,4.715284524398879e-06
feature_constitution84,0.004605908301292418,8.009277095337726e-06
feature_constitution85,0.004605908301292418,8.009277095337726e-06
feature_constitution86,0.0012339238793763444,2.8471407244590497e-06
feature_constitution87,0.004575372835221679,8.232091483702394e-06
feature_constitution88,0.002415361698501618,4.5552747555534e-06
