mean,std
feature_intelligence1,0.00521058135848747,1.4845675176313379e-06
feature_intelligence2,0.00521058135848747,1.4845675176313379e-06
feature_intelligence3,0.00521058135848747,1.4845675176313379e-06
feature_intelligence4,7.124731079838401e-05,9.249947965333896e-07
feature_intelligence5,0.00521058135848747,1.4845675176313379e-06
feature_intelligence6,0.00521058135848747,1.4845675176313379e-06
feature_intelligence7,0.00521058135848747,1.4845675176313379e-06
feature_intelligence8,0.00521058135848747,1.4845675176313379e-06
feature_intelligence9,6.038446102290634e-05,2.130178611779518e-07
feature_intelligence10,6.038446102290634e-05,2.130178611779518e-07
feature_intelligence11,7.124731079838401e-05,9.249947965333896e-07
feature_intelligence12,0.00521058135848747,1.4845675176313379e-06
feature_charisma1,6.755029048477294e-05,1.6777820627032537e-07
feature_charisma2,2.973030194832687e-05,9.96685428315571e-08
feature_charisma3,3.132391009506061e-05,9.341234556158706e-08
feature_charisma4,0.00012290204892600413,2.2025136209989022e-07
feature_charisma5,0.00021414605528663363,2.9261550846052535e-07
feature_charisma6,3.081110399315707e-05,8.537127382959772e-08
feature_charisma7,3.0052684351310975e-05,8.661159529179281e-08
feature_charisma8,0.00521058135848747,1.4845675176313379e-06
feature_charisma9,0.00521058135848747,1.4845675176313379e-06
feature_charisma10,2.7705355172637144e-05,9.07113921763397e-08
feature_charisma11,0.00017630114608447838,2.2936446452269572e-07
feature_charisma12,3.0263420259932565e-05,9.451273169273216e-08
feature_charisma13,6.151511091641472e-05,1.4608613190458542e-07
feature_charisma14,3.000733071510237e-05,1.017962299359205e-07
feature_charisma15,0.00521058135848747,1.4845675176313379e-06
feature_charisma16,2.936460416377547e-05,8.597226505541542e-08
feature_charisma17,0.00012290204892600413,2.2025136209989022e-07
feature_charisma18,0.00521058135848747,1.4845675176313379e-06
feature_charisma19,6.755029048477294e-05,1.6777820627032537e-07
feature_charisma20,3.075758867002057e-05,9.454835607177433e-08
feature_charisma21,0.00017630114608447838,2.2936446452269572e-07
feature_charisma22,2.5986088539265544e-05,9.301903305903619e-08
feature_charisma23,5.855837292525711e-05,1.462241835010873e-07
feature_charisma24,2.9324886154422688e-05,8.833874925404355e-08
feature_charisma25,4.5406959988819e-05,1.1628828232624214e-07
feature_charisma26,2.9731025143406444e-05,8.137925434691378e-08
feature_charisma27,4.5852304175997365e-05,1.4847872128395926e-07
feature_charisma28,0.00017630114608447838,2.2936446452269572e-07
feature_charisma29,2.968267138307409e-05,8.522745875940321e-08
feature_charisma30,0.00012290204892600413,2.2025136209989022e-07
feature_charisma31,3.01309508449762e-05,9.418691984604754e-08
feature_charisma32,0.00521058135848747,1.4845675176313379e-06
feature_charisma33,2.982390978594303e-05,1.0422563837000987e-07
feature_charisma34,3.0582251976368407e-05,8.924861709669512e-08
feature_charisma35,2.9149558033007876e-05,9.733286909848167e-08
feature_charisma36,0.00017630114608447838,2.2936446452269572e-07
feature_charisma37,0.00521058135848747,1.4845675176313379e-06
