mean,std
feature_intelligence1,0.01153714752572292,1.0468841418597244e-05
feature_intelligence2,0.0012695521730331373,2.0697121401839542e-06
feature_intelligence3,0.0012695521730331373,2.0697121401839542e-06
feature_intelligence4,0.01153714752572292,1.0468841418597244e-05
feature_intelligence5,0.0004103188824564868,9.154411175665645e-07
feature_intelligence6,0.000413629897072952,8.400690112977528e-07
feature_intelligence7,0.000413629897072952,8.400690112977528e-07
feature_intelligence8,0.01153714752572292,1.0468841418597244e-05
feature_intelligence9,0.01153714752572292,1.0468841418597244e-05
feature_intelligence10,0.01153714752572292,1.0468841418597244e-05
feature_intelligence11,0.01153714752572292,1.0468841418597244e-05
feature_intelligence12,0.0004103188824564868,9.154411175665645e-07
feature_charisma1,0.0004473030638548827,1.1956222101965361e-06
feature_charisma2,0.0007908549890622981,1.3002771768569145e-06
feature_charisma3,0.00041813416328016615,1.0305141775059616e-06
feature_charisma4,0.0008125309140202356,1.5220470535643832e-06
feature_charisma5,0.0006806430016073694,1.1906770633657736e-06
feature_charisma6,0.0004112491481952413,9.005217481492678e-07
feature_charisma7,0.00019858567503670702,5.97864725753562e-07
feature_charisma8,0.00033556924559096106,7.968507049823278e-07
feature_charisma9,0.00045775796298412104,1.0739524079779115e-06
feature_charisma10,0.0003656598903289027,8.493129778766392e-07
feature_charisma11,0.01153714752572292,1.0468841418597244e-05
feature_charisma12,0.0004033379364090868,8.616785120666435e-07
feature_charisma13,0.01153714752572292,1.0468841418597244e-05
feature_charisma14,0.0007908549890622981,1.3002771768569145e-06
feature_charisma15,0.00033556924559096106,7.968507049823278e-07
feature_charisma16,0.01153714752572292,1.0468841418597244e-05
feature_charisma17,0.0008125309140202356,1.5220470535643832e-06
feature_charisma18,0.01153714752572292,1.0468841418597244e-05
feature_charisma19,0.0004473030638548827,1.1956222101965361e-06
feature_charisma20,0.00020371211640840304,6.252970788109044e-07
feature_charisma21,0.00019269928609924004,1.1098599304782484e-06
feature_charisma22,0.00034660467614239167,1.004668268886304e-06
feature_charisma23,0.0003909688566491651,9.029094786368648e-07
feature_charisma24,0.0007908549890622981,1.3002771768569145e-06
feature_charisma25,0.0002980689181882131,9.030437244372055e-07
feature_charisma26,0.01153714752572292,1.0468841418597244e-05
feature_charisma27,0.0003041323511405701,1.0113629380856121e-06
feature_charisma28,0.0003918036371133425,1.1164569802720312e-06
feature_charisma29,0.01153714752572292,1.0468841418597244e-05
feature_charisma30,0.0008125309140202356,1.5220470535643832e-06
feature_charisma31,0.0004051561435543569,9.282084409570289e-07
feature_charisma32,0.000338040657194482,9.273825576863339e-07
feature_charisma33,0.0007908549890622981,1.3002771768569145e-06
feature_charisma34,0.00040690850838626623,8.771841312681866e-07
feature_charisma35,0.01153714752572292,1.0468841418597244e-05
feature_charisma36,0.00019053796856853937,8.134698478138566e-07
feature_charisma37,0.01153714752572292,1.0468841418597244e-05
feature_charisma38,0.0008125309140202356,1.5220470535643832e-06
feature_charisma39,0.0003909688566491651,9.029094786368648e-07
feature_charisma40,0.01153714752572292,1.0468841418597244e-05
feature_charisma41,0.0006806430016073694,1.1906770633657736e-06
feature_charisma42,0.01153714752572292,1.0468841418597244e-05
feature_charisma43,0.0012695521730331373,2.0697121401839542e-06
feature_charisma44,0.00036017133941476984,8.456869974784185e-07
feature_charisma45,0.00041813416328016615,1.0305141775059616e-06
feature_charisma46,0.0004161629946013949,9.228316607558903e-07
feature_charisma47,0.0002980689181882131,9.030437244372055e-07
feature_charisma48,0.000338040657194482,9.273825576863339e-07
feature_charisma49,0.01153714752572292,1.0468841418597244e-05
feature_charisma50,0.01153714752572292,1.0468841418597244e-05
feature_charisma51,0.0004051561435543569,9.282084409570289e-07
feature_charisma52,0.0004039161811704638,8.520715865430489e-07
feature_charisma53,0.0003918036371133425,1.1164569802720312e-06
feature_charisma54,0.0004112491481952413,9.005217481492678e-07
feature_charisma55,0.00040690850838626623,8.771841312681866e-07
feature_charisma56,0.00035169424028837855,8.894216800115882e-07
feature_charisma57,0.00039903982148655447,9.248963952488822e-07
feature_charisma58,0.01153714752572292,1.0468841418597244e-05
feature_charisma59,0.0006806430016073694,1.1906770633657736e-06
feature_charisma60,0.00034660467614239167,1.004668268886304e-06
feature_charisma61,0.01153714752572292,1.0468841418597244e-05
feature_charisma62,0.0004039161811704638,8.520715865430489e-07
feature_charisma63,0.0012695521730331373,2.0697121401839542e-06
feature_charisma64,0.00020069081173233896,6.442909428252867e-07
feature_charisma65,0.00035169424028837855,8.894216800115882e-07
feature_charisma66,0.0004161629946013949,9.228316607558903e-07
feature_charisma67,0.01153714752572292,1.0468841418597244e-05
feature_charisma68,0.0003917615675249423,8.665803774653972e-07
feature_charisma69,0.00045775796298412104,1.0739524079779115e-06
feature_charisma70,0.0012695521730331373,2.0697121401839542e-06
feature_charisma71,0.01153714752572292,1.0468841418597244e-05
feature_charisma72,0.00020030358274595995,6.237379777044455e-07
feature_charisma73,0.01153714752572292,1.0468841418597244e-05
feature_charisma74,0.00036017133941476984,8.456869974784185e-07
feature_charisma75,0.01153714752572292,1.0468841418597244e-05
feature_charisma76,0.01153714752572292,1.0468841418597244e-05
feature_charisma77,0.0003041323511405701,1.0113629380856121e-06
feature_charisma78,0.0003656598903289027,8.493129778766392e-07
feature_charisma79,0.0006806430016073694,1.1906770633657736e-06
feature_charisma80,0.0004033379364090868,8.616785120666435e-07
feature_charisma81,0.01153714752572292,1.0468841418597244e-05
feature_charisma82,0.0003917615675249423,8.665803774653972e-07
feature_charisma83,0.00039903982148655447,9.248963952488822e-07
feature_charisma84,0.01153714752572292,1.0468841418597244e-05
feature_charisma85,0.0012695521730331373,2.0697121401839542e-06
feature_charisma86,0.01153714752572292,1.0468841418597244e-05
feature_strength1,0.0007152534817204458,1.1184747088900738e-06
feature_strength2,0.01153714752572292,1.0468841418597244e-05
feature_strength3,0.0003836411107801605,1.63532479747779e-06
feature_strength4,0.0007152534817204458,1.1184747088900738e-06
feature_strength5,0.0003716072430080571,1.3850189160547119e-06
feature_strength6,0.00031847352928248074,9.508128979144866e-07
feature_strength7,0.0003654487742197464,7.410406599122019e-07
feature_strength8,0.0003614755142184155,8.527663802340433e-07
feature_strength9,0.00036762436199173085,7.656249498807326e-07
feature_strength10,0.000388255806751793,1.5317735547289264e-06
feature_strength11,0.0007152534817204458,1.1184747088900738e-06
feature_strength12,0.0003774111383698313,1.220129028181028e-06
feature_strength13,0.0003716072430080571,1.3850189160547119e-06
feature_strength14,0.00038905356904491843,8.535771054000268e-07
feature_strength15,0.005323273475377569,5.095331507405743e-06
feature_strength16,0.0012618648883167159,2.8248181157310934e-06
feature_strength17,0.00031847352928248074,9.508128979144866e-07
feature_strength18,0.00035997857322188803,8.59271490506194e-07
feature_strength19,0.0003836411107801605,1.63532479747779e-06
feature_strength20,0.00021630336565919326,6.253384516945911e-07
feature_strength21,0.0007152534817204458,1.1184747088900738e-06
feature_strength22,0.00036762436199173085,7.656249498807326e-07
feature_strength23,0.0012618648883167159,2.8248181157310934e-06
feature_strength24,0.0003796432027613397,8.821632992555241e-07
feature_strength25,0.01153714752572292,1.0468841418597244e-05
feature_strength26,0.0003585435556744047,8.215321071684609e-07
feature_strength27,0.005323273475377569,5.095331507405743e-06
feature_strength28,0.0003614755142184155,8.527663802340433e-07
feature_strength29,0.0003796432027613397,8.821632992555241e-07
feature_strength30,0.0003774111383698313,1.220129028181028e-06
feature_strength31,0.01153714752572292,1.0468841418597244e-05
feature_strength32,0.01153714752572292,1.0468841418597244e-05
feature_strength33,0.0003585435556744047,8.215321071684609e-07
feature_strength34,0.00038905356904491843,8.535771054000268e-07
feature_strength35,0.0003654487742197464,7.410406599122019e-07
feature_strength36,0.000388255806751793,1.5317735547289264e-06
feature_strength37,0.00035997857322188803,8.59271490506194e-07
feature_strength38,0.00021630336565919326,6.253384516945911e-07
feature_dexterity1,0.01153714752572292,1.0468841418597244e-05
feature_dexterity2,0.00041270301324713754,1.5908490386103102e-06
feature_dexterity3,0.002245350925768119,3.61918272390915e-06
feature_dexterity4,0.002245350925768119,3.61918272390915e-06
feature_dexterity5,0.002245350925768119,3.61918272390915e-06
feature_dexterity6,0.002245350925768119,3.61918272390915e-06
feature_dexterity7,0.002245350925768119,3.61918272390915e-06
feature_dexterity8,0.002245350925768119,3.61918272390915e-06
feature_dexterity9,0.01153714752572292,1.0468841418597244e-05
feature_dexterity10,0.00041270301324713754,1.5908490386103102e-06
feature_dexterity11,0.002245350925768119,3.61918272390915e-06
feature_dexterity12,0.002245350925768119,3.61918272390915e-06
feature_dexterity13,0.002245350925768119,3.61918272390915e-06
feature_dexterity14,0.002245350925768119,3.61918272390915e-06
feature_constitution1,0.01153714752572292,1.0468841418597244e-05
feature_constitution2,0.00036233109640099973,2.125252341835312e-06
feature_constitution3,0.0003720134687738214,8.480603304070182e-07
feature_constitution4,0.00031292675973099447,1.916000189600921e-06
feature_constitution5,0.005323273475377569,5.095331507405743e-06
feature_constitution6,0.005323273475377569,5.095331507405743e-06
feature_constitution7,0.0007306935857054298,1.4822109473571938e-06
feature_constitution8,0.00036369401854523996,7.82682854734068e-07
feature_constitution9,0.005323273475377569,5.095331507405743e-06
feature_constitution10,0.005323273475377569,5.095331507405743e-06
feature_constitution11,0.01153714752572292,1.0468841418597244e-05
feature_constitution12,0.005323273475377569,5.095331507405743e-06
feature_constitution13,0.0007306935857054298,1.4822109473571938e-06
feature_constitution14,0.0003394794520302037,9.228600148701163e-07
feature_constitution15,0.00035866882236360113,1.0342607284077763e-06
feature_constitution16,0.000349944398008414,1.227088857163229e-06
feature_constitution17,0.00036369401854523996,7.82682854734068e-07
feature_constitution18,0.0007049195491524522,1.2520980537467907e-06
feature_constitution19,0.00032896621267216686,1.346489048879296e-06
feature_constitution20,0.01153714752572292,1.0468841418597244e-05
feature_constitution21,0.000347596310673644,7.663663026492821e-07
feature_constitution22,0.005323273475377569,5.095331507405743e-06
feature_constitution23,0.0003720134687738214,8.480603304070182e-07
feature_constitution24,0.00035208451258057305,8.983211213125061e-07
feature_constitution25,0.005323273475377569,5.095331507405743e-06
feature_constitution26,0.01153714752572292,1.0468841418597244e-05
feature_constitution27,0.0007306935857054298,1.4822109473571938e-06
feature_constitution28,0.01153714752572292,1.0468841418597244e-05
feature_constitution29,0.005323273475377569,5.095331507405743e-06
feature_constitution30,0.0006830968548723217,1.300758974079205e-06
feature_constitution31,0.0003912972843337173,2.0066320329838865e-06
feature_constitution32,0.005323273475377569,5.095331507405743e-06
feature_constitution33,0.005323273475377569,5.095331507405743e-06
feature_constitution34,0.0012618648883167159,2.8248181157310934e-06
feature_constitution35,0.0012618648883167159,2.8248181157310934e-06
feature_constitution36,0.0012618648883167159,2.8248181157310934e-06
feature_constitution37,0.00035866882236360113,1.0342607284077763e-06
feature_constitution38,0.0007185660899558842,1.3023190306377576e-06
feature_constitution39,0.0007049195491524522,1.2520980537467907e-06
feature_constitution40,0.000349944398008414,1.227088857163229e-06
feature_constitution41,0.005323273475377569,5.095331507405743e-06
feature_constitution42,0.0006830968548723217,1.300758974079205e-06
feature_constitution43,0.01153714752572292,1.0468841418597244e-05
feature_constitution44,0.0007164506670328389,2.666221659650606e-06
feature_constitution45,0.005323273475377569,5.095331507405743e-06
feature_constitution46,0.0003501527765087332,9.269760848181951e-07
feature_constitution47,0.005323273475377569,5.095331507405743e-06
feature_constitution48,0.005323273475377569,5.095331507405743e-06
feature_constitution49,0.00031292675973099447,1.916000189600921e-06
feature_constitution50,0.005323273475377569,5.095331507405743e-06
feature_constitution51,0.0003394794520302037,9.228600148701163e-07
feature_constitution52,0.0004085481870981417,1.0582751223843152e-06
feature_constitution53,0.00036793275487758336,8.873777707540726e-07
feature_constitution54,0.005323273475377569,5.095331507405743e-06
feature_constitution55,0.0007164506670328389,2.666221659650606e-06
feature_constitution56,0.0007399413627180014,1.3779080209718674e-06
feature_constitution57,0.005323273475377569,5.095331507405743e-06
feature_constitution58,0.0007364131461973522,1.2386740968309384e-06
feature_constitution59,0.0006830968548723217,1.300758974079205e-06
feature_constitution60,0.005323273475377569,5.095331507405743e-06
feature_constitution61,0.005323273475377569,5.095331507405743e-06
feature_constitution62,0.01153714752572292,1.0468841418597244e-05
feature_constitution63,0.0003585879600364847,2.240455159443146e-06
feature_constitution64,0.0006831468430874404,1.2086461486311097e-06
feature_constitution65,0.0003585879600364847,2.240455159443146e-06
feature_constitution66,0.0007164506670328389,2.666221659650606e-06
feature_constitution67,0.0007185660899558842,1.3023190306377576e-06
feature_constitution68,0.0007364131461973522,1.2386740968309384e-06
