mean,std
feature_intelligence1,0.003899112495142388,4.3147842114310046e-05
feature_intelligence2,0.005228914552798951,8.759735641916546e-06
feature_intelligence3,0.005228914552798951,8.759735641916546e-06
feature_intelligence4,0.003899112495142388,4.3147842114310046e-05
feature_intelligence5,0.0016976805351736955,3.6000919964192464e-06
feature_intelligence6,0.0017028229239614316,3.587367308243873e-06
feature_intelligence7,0.0017028229239614316,3.587367308243873e-06
feature_intelligence8,0.003899112495142388,4.3147842114310046e-05
feature_intelligence9,0.0016384630246349884,5.8644442530673345e-06
feature_intelligence10,0.0016384630246349884,5.8644442530673345e-06
feature_intelligence11,0.003899112495142388,4.3147842114310046e-05
feature_intelligence12,0.0016976805351736955,3.6000919964192464e-06
feature_charisma1,0.001838529069209322,5.245243781333324e-06
feature_charisma2,0.0008155916318544906,2.3165723882950302e-06
feature_charisma3,0.0008519586685451214,3.105617987689696e-06
feature_charisma4,0.0033607484708482274,5.640859996033488e-06
feature_charisma5,0.002816053765507632,5.035624480836549e-06
feature_charisma6,0.0016870959261117476,3.914067004921682e-06
feature_charisma7,0.000817620302894804,2.5406265834794175e-06
feature_charisma8,0.0013850504927776703,3.4044175419275963e-06
feature_charisma9,0.002783236933933604,5.36454183715768e-06
feature_charisma10,0.0015118192922729673,3.6815674374243703e-06
feature_charisma11,0.004810406584559197,7.618795015977326e-06
feature_charisma12,0.001662750049687033,3.7904079757322235e-06
feature_charisma13,0.0033042691974496875,5.6685082341885165e-06
feature_charisma14,0.00163535414223184,3.7364120642071437e-06
feature_charisma15,0.0013850504927776703,3.4044175419275963e-06
feature_charisma16,0.0016026633196037042,3.3285428938903964e-06
feature_charisma17,0.0033607484708482274,5.640859996033488e-06
feature_charisma18,0.004809132595328655,7.101631268396607e-06
feature_charisma19,0.001838529069209322,5.245243781333324e-06
feature_charisma20,0.001667596246430369,4.165252913688795e-06
feature_charisma21,0.004810406584559197,7.618795015977326e-06
feature_charisma22,0.0028998835100672005,5.281019166415547e-06
feature_charisma23,0.001593504478562978,3.870007193587771e-06
feature_charisma24,0.0008058145000661372,2.64260586722327e-06
feature_charisma25,0.0012406407494470067,3.2802987087970382e-06
feature_charisma26,0.0016151610761740338,3.337242830455645e-06
feature_charisma27,0.0012477065477499638,3.413005688280688e-06
feature_charisma28,0.004810406584559197,7.618795015977326e-06
feature_charisma29,0.0008148650723802731,2.4645482365506446e-06
feature_charisma30,0.0033607484708482274,5.640859996033488e-06
feature_charisma31,0.0016599161638757936,4.105663951891793e-06
feature_charisma32,0.0014019681302887626,3.6280787243688574e-06
feature_charisma33,0.00163535414223184,3.7364120642071437e-06
feature_charisma34,0.00166338409096355,3.7169081081168496e-06
feature_charisma35,0.0016026633196037042,3.3285428938903964e-06
feature_charisma36,0.004810406584559197,7.618795015977326e-06
feature_charisma37,0.004809132595328655,7.101631268396607e-06
feature_charisma38,0.0033607484708482274,5.640859996033488e-06
feature_charisma39,0.001593504478562978,3.870007193587771e-06
feature_charisma40,0.004809132595328655,7.101631268396607e-06
feature_charisma41,0.002816053765507632,5.035624480836549e-06
feature_charisma42,0.0015956248975641351,3.61755026788315e-06
feature_charisma43,0.005228914552798951,8.759735641916546e-06
feature_charisma44,0.0022594792617629937,4.22586290735373e-06
feature_charisma45,0.0008554911503994121,2.941430871906733e-06
feature_charisma46,0.0008566019515256749,2.5222904087279332e-06
feature_charisma47,0.0012406407494470067,3.2802987087970382e-06
feature_charisma48,0.0014019681302887626,3.6280787243688574e-06
feature_charisma49,0.0014751860935254997,3.6823470460032095e-06
feature_charisma50,0.0033042691974496875,5.6685082341885165e-06
feature_charisma51,0.0016599161638757936,4.105663951891793e-06
feature_charisma52,0.000839215622740884,2.409993167306026e-06
feature_charisma53,0.004810406584559197,7.618795015977326e-06
feature_charisma54,0.0016870959261117476,3.914067004921682e-06
