mean,std
feature_intelligence1,0.0014013821782556115,3.737759731796035e-05
feature_intelligence2,0.0025293357459088804,7.302076206796005e-06
feature_intelligence3,0.0025293357459088804,7.302076206796005e-06
feature_intelligence4,0.002834027824373071,3.208478321487039e-05
feature_intelligence5,0.002459363633184961,5.588531189697554e-06
feature_intelligence6,0.0024736691002638935,5.070805095683246e-06
feature_intelligence7,0.0024736691002638935,5.070805095683246e-06
feature_intelligence8,0.0013841538507265482,3.370989729392774e-05
feature_intelligence9,0.0023725579953865054,8.037805581002182e-06
feature_intelligence10,0.0023725579953865054,8.037805581002182e-06
feature_intelligence11,0.002834027824373071,3.208478321487039e-05
feature_intelligence12,0.002459363633184961,5.588531189697554e-06
feature_charisma1,0.0026640519351663677,6.595604831192517e-06
feature_charisma2,0.0023386366678230766,5.244119335214168e-06
feature_charisma3,0.0024787976452515276,5.693345896759595e-06
feature_charisma4,0.0024013971275046813,5.229618264622894e-06
feature_charisma5,0.002064016896281456,5.130139047580822e-06
feature_charisma6,0.0024481945327849957,5.142482506038514e-06
feature_charisma7,0.00237527693434171,5.020290258119779e-06
feature_charisma8,0.0020096921276177336,4.9141095137371094e-06
feature_charisma9,0.0027240961857377633,6.916497657238023e-06
feature_charisma10,0.0021791666915437834,5.351402287304093e-06
feature_charisma11,0.0023317210429087726,5.206186433847833e-06
feature_charisma12,0.0023880789283851705,5.877591941412996e-06
feature_charisma13,0.0024177673797033056,6.147427684288002e-06
feature_charisma14,0.004771476647504319,9.051670536464405e-06
feature_charisma15,0.0020096921276177336,4.9141095137371094e-06
feature_charisma16,0.0023102637903084076,4.966941587767568e-06
feature_charisma17,0.0024013971275046813,5.229618264622894e-06
feature_charisma18,0.006948266979437658,1.0271685962159322e-05
feature_charisma19,0.0026640519351663677,6.595604831192517e-06
feature_charisma20,0.002415831638103849,5.847874593163787e-06
feature_charisma21,0.0022927636085466217,9.341286872995307e-06
feature_charisma22,0.002063218586245576,6.099934770521384e-06
feature_charisma23,0.002319127109462159,5.827927483044671e-06
feature_charisma24,0.0023386366678230766,5.244119335214168e-06
feature_charisma25,0.0017885174710218278,4.73587000006745e-06
feature_charisma26,0.002337935402390301,5.387170979307479e-06
feature_charisma27,0.0018141317778790674,5.787028076066489e-06
feature_charisma28,0.0023438558353196626,6.5352785341328954e-06
