mean,std
feature_intelligence1,0.001376103629805037,1.6293740178026748e-05
feature_intelligence2,0.0026545462288310325,9.040546298019893e-06
feature_intelligence3,0.0026545462288310325,9.040546298019893e-06
feature_intelligence4,0.0030002240244136453,4.1917919748920294e-05
feature_intelligence5,0.0025768360020043653,5.340838648684807e-06
feature_intelligence6,0.0025830332530898063,5.234776564346542e-06
feature_intelligence7,0.0025830332530898063,5.234776564346542e-06
feature_intelligence8,0.0014038861729779634,2.8268646767877374e-05
feature_intelligence9,0.0024974248443104517,8.421192947229559e-06
feature_intelligence10,0.0024974248443104517,8.421192947229559e-06
feature_intelligence11,0.0030002240244136453,4.1917919748920294e-05
feature_intelligence12,0.0025768360020043653,5.340838648684807e-06
feature_charisma1,0.002797176102519333,6.872857159920258e-06
feature_charisma2,0.002449427415292734,5.756929391007971e-06
feature_charisma3,0.002602291916717148,6.540136328688901e-06
feature_charisma4,0.0025136790002712696,6.102417686444635e-06
feature_charisma5,0.0021529693276071487,5.014574022273005e-06
feature_charisma6,0.0025829639150846003,5.281167446024403e-06
feature_charisma7,0.0025010988836308627,5.803094352150129e-06
feature_charisma8,0.0020914906496188896,5.007355659725449e-06
feature_charisma9,0.00284877644056939,7.387616422161327e-06
feature_charisma10,0.0022824596136165895,5.412779161340038e-06
feature_charisma11,0.002449472536764004,5.825206200367674e-06
feature_charisma12,0.0025138329620378818,5.621023369849934e-06
feature_charisma13,0.002546007596723975,6.696313285708863e-06
feature_charisma14,0.0024818454176525934,5.960911990472425e-06
feature_charisma15,0.0020914906496188896,5.007355659725449e-06
feature_charisma16,0.0024152642524253682,5.193717847757498e-06
feature_charisma17,0.0025136790002712696,6.102417686444635e-06
feature_charisma18,0.004868345985762076,7.947227108763548e-06
feature_charisma19,0.002797176102519333,6.872857159920258e-06
feature_charisma20,0.002529125067242237,6.182278740827601e-06
feature_charisma21,0.0023986667299206624,8.225259549751884e-06
feature_charisma22,0.002164136425175868,5.870532474765762e-06
feature_charisma23,0.002432592663541119,6.314866330509899e-06
feature_charisma24,0.002449427415292734,5.756929391007971e-06
feature_charisma25,0.0018756988027318943,6.250808625329986e-06
feature_charisma26,0.002448964478012499,5.426884215548181e-06
feature_charisma27,0.001903914467519588,5.661479306467202e-06
feature_charisma28,0.0024471437387827027,7.365754381938905e-06
feature_charisma29,0.0024481671970912715,5.407568638791987e-06
feature_charisma30,0.0025524872296659048,6.209646564851644e-06
feature_charisma31,0.0025214323240785163,5.820121978045548e-06
feature_charisma32,0.002122396755993882,5.293133942249233e-06
