mean,std
feature_intelligence1,0.0015154592396500496,3.723893372813191e-05
feature_intelligence2,0.00279389186592529,9.128747345319188e-06
feature_intelligence3,0.00279389186592529,9.128747345319188e-06
feature_intelligence4,0.0031214616906904465,4.083847371674739e-05
feature_intelligence5,0.00270831560685838,6.951412660325254e-06
feature_intelligence6,0.0027203216006910394,5.395726935938692e-06
feature_intelligence7,0.0027203216006910394,5.395726935938692e-06
feature_intelligence8,0.0014837476575730903,3.46661042285681e-05
feature_intelligence9,0.0026280714703390403,8.660496158575164e-06
feature_intelligence10,0.0026280714703390403,8.660496158575164e-06
feature_intelligence11,0.0031214616906904465,4.083847371674739e-05
feature_intelligence12,0.00270831560685838,6.951412660325254e-06
feature_charisma1,0.0029391341606139253,8.042939808940331e-06
feature_charisma2,0.002591272280697955,5.9132791608416284e-06
feature_charisma3,0.0027458122189772042,6.819056018053413e-06
feature_charisma4,0.0026730301999520114,5.725015774705981e-06
feature_charisma5,0.0022770500272965167,6.113311139985219e-06
feature_charisma6,0.002709247343121635,5.966051748507751e-06
feature_charisma7,0.0026315752680887683,5.7523294374606e-06
feature_charisma8,0.002221628474175783,5.594128024329497e-06
feature_charisma9,0.0030122726537622864,7.598099876193144e-06
feature_charisma10,0.002413832295751824,5.464935652339378e-06
feature_charisma11,0.0025768997540647006,5.96470372801557e-06
feature_charisma12,0.00265551094133895,5.958656416056982e-06
feature_charisma13,0.0026868560161679065,6.692526868579979e-06
feature_charisma14,0.002610752308016311,6.308525725447882e-06
feature_charisma15,0.002221628474175783,5.594128024329497e-06
feature_charisma16,0.002556440114251804,5.774874444628049e-06
feature_charisma17,0.0026730301999520114,5.725015774705981e-06
feature_charisma18,0.005114683154833406,8.793692043869058e-06
feature_charisma19,0.0029391341606139253,8.042939808940331e-06
feature_charisma20,0.0026640618075028668,6.82463201455606e-06
feature_charisma21,0.002516669410842153,8.681417645788086e-06
feature_charisma22,0.0022906353780273313,6.124981896926963e-06
feature_charisma23,0.0025535019601534872,6.3340995765040416e-06
feature_charisma24,0.002591272280697955,5.9132791608416284e-06
feature_charisma25,0.0019789782566160697,5.613876076857732e-06
feature_charisma26,0.002584500897421364,5.7854445740529e-06
feature_charisma27,0.0020023079765996623,6.373712186108538e-06
feature_charisma28,0.002582919193138155,7.111935151354421e-06
feature_charisma29,0.002589884700689914,5.748753545231264e-06
feature_charisma30,0.0026961554975613667,6.625532814815966e-06
feature_charisma31,0.0026715284880432697,6.3580642590700736e-06
feature_charisma32,0.0022397190432665395,5.6423324314660254e-06
feature_charisma33,0.002610752308016311,6.308525725447882e-06
feature_charisma34,0.0026675051167946713,6.016311682520294e-06
feature_charisma35,0.002556440114251804,5.774874444628049e-06
feature_charisma36,0.002516669410842153,8.681417645788086e-06
feature_charisma37,0.005114683154833406,8.793692043869058e-06
feature_charisma38,0.0026961554975613667,6.625532814815966e-06
feature_charisma39,0.0025535019601534872,6.3340995765040416e-06
feature_charisma40,0.0025689804857067238,6.335268104335686e-06
feature_charisma41,0.00222009258659412,5.315811686371159e-06
feature_charisma42,0.002554103774513532,5.545349621990428e-06
feature_charisma43,0.005550609724928175,1.0505661218535497e-05
feature_charisma44,0.002370075534389542,5.466167846723479e-06
feature_charisma45,0.0027458122189772042,6.819056018053413e-06
feature_charisma46,0.0027398616753581432,6.52428005291416e-06
feature_charisma47,0.0019789782566160697,5.613876076857732e-06
feature_charisma48,0.0022397190432665395,5.6423324314660254e-06
feature_charisma49,0.002353725678893366,5.532837008755891e-06
feature_charisma50,0.0026868560161679065,6.692526868579979e-06
feature_charisma51,0.0026715284880432697,6.3580642590700736e-06
feature_charisma52,0.002669224056061012,6.6258201327487965e-06
feature_charisma53,0.002582919193138155,7.111935151354421e-06
feature_charisma54,0.002709247343121635,5.966051748507751e-06
feature_charisma55,0.0026675051167946713,6.016311682520294e-06
feature_charisma56,0.002324765106140897,5.5944567493679e-06
feature_charisma57,0.0026203494597682522,5.703843669878384e-06
feature_charisma58,0.0025768997540647006,5.96470372801557e-06
feature_charisma59,0.00222009258659412,5.315811686371159e-06
feature_charisma60,0.0022906353780273313,6.124981896926963e-06
feature_charisma61,0.0025689804857067238,6.335268104335686e-06
feature_charisma62,0.002669224056061012,6.6258201327487965e-06
feature_charisma63,0.005550609724928175,1.0505661218535497e-05
feature_charisma64,0.0026640618075028668,6.82463201455606e-06
feature_charisma65,0.002324765106140897,5.5944567493679e-06
feature_charisma66,0.0027398616753581432,6.52428005291416e-06
feature_charisma67,0.002584500897421364,5.7854445740529e-06
feature_charisma68,0.0025859696226818224,5.802843342765153e-06
feature_charisma69,0.0030122726537622864,7.598099876193144e-06
feature_charisma70,0.005550609724928175,1.0505661218535497e-05
feature_charisma71,0.002589884700689914,5.748753545231264e-06
feature_charisma72,0.0026315752680887683,5.7523294374606e-06
feature_charisma73,0.002353725678893366,5.532837008755891e-06
feature_charisma74,0.002370075534389542,5.466167846723479e-06
feature_charisma75,0.002554103774513532,5.545349621990428e-06
feature_charisma76,0.005114683154833406,8.793692043869058e-06
feature_charisma77,0.0020023079765996623,6.373712186108538e-06
feature_charisma78,0.002413832295751824,5.464935652339378e-06
feature_charisma79,0.0022770500272965167,6.113311139985219e-06
feature_charisma80,0.00265551094133895,5.958656416056982e-06
feature_charisma81,0.005114683154833406,8.793692043869058e-06
feature_charisma82,0.0025859696226818224,5.802843342765153e-06
feature_charisma83,0.0026203494597682522,5.703843669878384e-06
feature_charisma84,0.0026002116398575912,5.383547919266774e-06
feature_charisma85,0.005550609724928175,1.0505661218535497e-05
feature_charisma86,0.0026002116398575912,5.383547919266774e-06
feature_strength1,0.004717102611011003,7.988770090237774e-06
feature_strength2,0.0022354151267838357,5.686177753016496e-06
feature_strength3,0.002512622177516523,8.368106183773514e-06
feature_strength4,0.004717102611011003,7.988770090237774e-06
feature_strength5,0.0024467685299227097,1.0770817270964051e-05
