,mean,std
PCA_128,-0.0008813273224760934,0.0005543466965537518
PCA_145,-0.0003967141436743756,0.00023571840275572083
PCA_236,-0.000313392364883331,0.0001436303211403511
PCA_115,-0.00029418450777681383,0.0002394507606072494
PCA_106,-0.0002860100995094678,0.0003211502843558126
PCA_207,-0.00028145274652686253,8.172644139984804e-05
PCA_131,-0.00028041156020752387,0.00025137065393359006
PCA_66,-0.00027782980882669155,0.00016791730166710822
PCA_214,-0.00027433609986977225,8.621030965883036e-05
PCA_83,-0.00024275436452199617,0.0002075193642042217
PCA_92,-0.000239982832676427,5.5001121986088485e-05
PCA_55,-0.00023889315176861344,0.00020174958044441232
PCA_188,-0.00023249395203011448,0.00014153349818594587
PCA_170,-0.00022097112137375502,0.0001450139702838857
PCA_190,-0.00021765555381081186,0.00014214096750370984
PCA_11,-0.00021487279137805847,0.00015604481864651468
PCA_194,-0.00019869193936634857,0.00020806942823489244
PCA_125,-0.00019539477389421897,0.0002559481544063504
PCA_117,-0.0001948541204532857,0.00012998050138259804
PCA_32,-0.00019056058505297313,0.00031943831097889353
PCA_89,-0.0001899946969004529,7.297869624884825e-05
PCA_187,-0.00018814112496867198,0.00026985930285698245
PCA_161,-0.0001853814554976015,0.0003642078147648865
PCA_23,-0.00018515546542476798,0.00010381173027793341
PCA_72,-0.00018118305254407488,0.000146229701174561
PCA_116,-0.00017677995395098094,8.88762112445411e-05
PCA_238,-0.0001747375105826381,4.1937871148260694e-05
PCA_113,-0.00017211752065272686,0.00022045046408108543
PCA_182,-0.00017170231016298815,0.0001341703733077414
PCA_221,-0.00017129369951977532,6.232797602226271e-05
PCA_162,-0.00016822665681685093,0.00021087057471469702
PCA_13,-0.00016784649300996215,0.00023034114708951468
PCA_114,-0.0001641124081864174,0.00014460674628623835
PCA_45,-0.00016407784989090705,9.206523536903366e-05
PCA_133,-0.00016113400314527026,0.00011072076799116117
PCA_225,-0.00016108270254411368,0.00010852047927247336
PCA_224,-0.00016018410866645123,0.0001324153071496043
PCA_198,-0.00015890820685625465,5.2395624659596065e-05
PCA_100,-0.0001573285143302449,0.00012529555346780074
PCA_38,-0.00015371005489481918,9.127238251435009e-05
PCA_183,-0.00015192562270210786,4.3958214949300304e-05
PCA_215,-0.00015176553266614141,0.00012211390673061705
PCA_60,-0.0001507029969843654,0.00021409053779952188
PCA_68,-0.00013822053097799585,5.7768662202088906e-05
PCA_71,-0.0001357302557027025,0.00015293233475335117
PCA_181,-0.00013560959908769877,0.000100556127807113
PCA_166,-0.0001327039568930755,0.00010791949824997192
PCA_36,-0.00013139903494776406,0.00024835002843675896
PCA_201,-0.00013118130405838106,0.00013374722142640345
PCA_82,-0.0001311209466582337,0.00017156369010521422
PCA_110,-0.00012867800440211806,8.737765573330053e-05
PCA_73,-0.00012789983539509756,9.308573784658198e-05
PCA_91,-0.00012576756779761274,0.0002800119605997335
PCA_57,-0.00012485512467304565,0.00017406759197410325
PCA_42,-0.00012420340629835507,0.00012899426090226036
PCA_179,-0.000119995904697805,7.003119165795937e-05
PCA_186,-0.00011869800168883677,0.00010916638973774112
PCA_167,-0.00011213510964947905,0.0001222829518050137
PCA_150,-0.00011142895155598611,0.0002757448745027875
PCA_157,-0.00011013609629105913,0.0001368844998628226
PCA_168,-0.00010866421592391521,0.0001793186553982257
PCA_62,-0.00010806988214141192,1.2896585758927614e-05
PCA_158,-0.00010662604695191582,6.55619388593638e-05
PCA_93,-0.00010264808941385904,0.00012816265759146836
PCA_140,-9.732350337193218e-05,0.00014637449308668596
PCA_95,-9.592446915512073e-05,0.0001546429064397476
PCA_178,-9.053802999791845e-05,0.00016342237268420577
PCA_231,-8.547360525990243e-05,5.3204545998935586e-05
PCA_147,-8.445377716668639e-05,0.00010019561287672952
PCA_90,-8.014280940748902e-05,4.165193913052015e-05
PCA_219,-7.878432210449921e-05,0.00011503642952608214
PCA_172,-6.764148837433839e-05,0.00017443204527819314
PCA_27,-6.347904940803382e-05,8.95573051600876e-05
PCA_200,-6.344153731393872e-05,0.00010469246367510171
PCA_206,-6.340513844528943e-05,0.00012464581242040395
PCA_196,-6.007075716031972e-05,0.00010387315700255436
PCA_49,-5.5737126684118055e-05,8.789703262567095e-05
PCA_156,-5.3005680732857126e-05,0.00012432321912762994
PCA_69,-5.1409967114729116e-05,0.00015694744378258417
PCA_164,-5.056610083456034e-05,0.00013685006686249503
PCA_136,-4.7996528833028074e-05,0.00017344317695550864
PCA_96,-4.589619720464604e-05,7.819569579916665e-05
PCA_193,-4.442440473632544e-05,0.00010293176423902351
PCA_205,-4.073853686921749e-05,0.00014362841775684718
PCA_151,-3.835969677926588e-05,0.0001554049182500762
PCA_213,-3.7014437924729874e-05,0.00013694132458347898
PCA_44,-3.3066699747154356e-05,0.0001435488025596506
PCA_132,-3.255824166981966e-05,4.60134307506909e-05
PCA_220,-3.2450780798442885e-05,4.408931210832262e-05
PCA_61,-3.218752310991122e-05,5.117319718439275e-05
PCA_227,-3.110718965110481e-05,0.00010803718666782045
PCA_65,-2.9642769761598845e-05,8.791566091900598e-05
PCA_229,-2.456109700231779e-05,0.00015091227190582154
PCA_204,-2.246967572917979e-05,0.0001809699318959392
PCA_25,-2.124990258645209e-05,0.00017157877358897446
PCA_153,-2.008044598160499e-05,6.836207760218877e-05
PCA_199,-1.8674788528571375e-05,0.00018783572866110646
PCA_235,-1.1980232453604844e-05,0.00010755771473558583
PCA_41,-1.0463584931557903e-05,0.00016360076453331897
PCA_149,-1.012420241606962e-05,0.00014113031041254286
PCA_75,-6.997540865642659e-06,6.0652243020457715e-05
PCA_197,-6.336104905378392e-06,8.043905993911002e-05
PCA_180,-4.377650883340695e-06,0.0001739172257814975
PCA_152,-3.4359333215847946e-06,5.858495160991742e-05
PCA_79,-2.9366916206508058e-06,0.0001307527710337668
PCA_212,-1.7745788659957626e-06,8.243765425221786e-05
PCA_85,-9.264192448856261e-07,0.00011437098750005344
PCA_80,-6.513950669674869e-07,0.00012067002091645464
PCA_143,3.28695662207505e-06,0.0001412038930656769
PCA_99,6.533920514595169e-06,2.1267664972395996e-05
PCA_234,6.877356725934393e-06,5.811668034264612e-05
PCA_98,7.797449505695964e-06,6.612882259893382e-05
PCA_94,8.288063785549853e-06,0.00015966062325418676
PCA_118,8.367315238481293e-06,8.019321616944904e-05
PCA_154,1.2076338322473067e-05,0.00010782454745896639
PCA_10,1.3696790133563042e-05,8.456123719603405e-05
PCA_239,1.5153457926596169e-05,9.642130866581641e-05
PCA_87,1.532925406320696e-05,9.305458584282703e-05
PCA_155,1.587306453734046e-05,6.833599633054395e-05
PCA_121,1.643473299058365e-05,0.0003086998952711667
PCA_226,1.6655938957011348e-05,0.00012568556296366112
PCA_209,1.8495821468727817e-05,9.005947082144986e-05
PCA_26,2.1617397433940955e-05,0.00024280526659551
PCA_43,2.395653887140731e-05,0.00017108636994841712
PCA_67,2.7906685165067552e-05,8.353875382453537e-05
