mean,std
feature_charisma38,-0.0003458785983204991,0.00012780000921545253
feature_constitution112,-0.0003343494265856154,0.00018354568996331241
feature_charisma30,-0.00032580468034160674,9.360723131742191e-05
feature_wisdom42,-0.0003105125399593844,0.000350578369017055
feature_constitution68,-0.0002645651327462471,0.0002907960979303953
feature_constitution97,-0.0002597818783241703,0.00020340699961916421
feature_charisma25,-0.0002593506930105533,5.969633314465241e-05
feature_dexterity10,-0.00025734200016435234,0.0001542080392461339
feature_charisma2,-0.0002567372651468747,0.0002442680076178268
feature_charisma67,-0.0002549742204682951,0.00027983875055116264
feature_intelligence1,-0.00023788189332324617,0.00038603857480885216
feature_dexterity2,-0.00021979085226827593,0.00015382981215502858
feature_charisma73,-0.00021854372927579622,0.00011132223075629748
feature_strength23,-0.00020086635003939345,6.96781653083056e-05
feature_charisma28,-0.00019132230320003732,0.00012744039108959808
feature_constitution19,-0.00016831562898599961,0.00019810396940058174
feature_wisdom9,-0.0001594537102710452,0.00015507461537698258
feature_wisdom20,-0.00013822914640872975,0.00017671977996438717
feature_charisma4,-0.00013441817165331165,5.048555804552287e-05
feature_dexterity13,-0.00012579971552741312,9.968416461198941e-05
feature_charisma82,-0.00012561080856678418,1.9257368969377345e-05
feature_constitution108,-0.00012508312090496479,0.00022669805250233996
feature_intelligence7,-0.00011237994625766775,0.00010807676486162164
feature_constitution101,-0.00011229607177351494,7.927236764917552e-05
feature_constitution58,-0.00011227871806336861,0.0002875571418040057
feature_constitution41,-0.00010912042402324155,0.00010760644059843778
feature_charisma84,-0.00010611167896155136,4.8964729986388104e-05
feature_wisdom46,-0.00010202980090692041,9.27054619312924e-05
feature_strength35,-0.0001007374857428178,0.0001308578701977282
feature_wisdom37,-9.987848918905514e-05,0.00010580579041936927
feature_charisma20,-9.888680358874213e-05,4.725486879904112e-05
feature_constitution32,-9.81156144591336e-05,0.0001112016416202611
feature_strength37,-9.650344354298127e-05,2.0917722627618296e-05
feature_constitution82,-9.277181035568762e-05,0.00010357866928579786
feature_constitution66,-9.223510392611188e-05,0.0001330359571592084
feature_constitution33,-9.170989656009423e-05,7.882044869637516e-05
feature_strength7,-8.970664601234266e-05,8.392763725499394e-05
feature_intelligence6,-8.931870456501371e-05,0.00016181064789288637
feature_constitution73,-8.55434388023791e-05,9.195493031902952e-05
feature_constitution81,-7.936675710754709e-05,0.00013257053453360871
feature_constitution109,-7.897912287038833e-05,9.116545062733292e-05
feature_charisma60,-7.886736696844753e-05,0.00015399087769138475
feature_strength36,-7.711373772315344e-05,0.0001915044796560306
feature_charisma23,-7.675086997764988e-05,3.0393245446235685e-05
feature_constitution49,-7.501004899599226e-05,3.132403007762005e-05
feature_charisma53,-7.428241056554768e-05,6.598312751565577e-05
feature_charisma22,-7.408019255430321e-05,0.00013845562400636524
feature_strength2,-7.406940920720509e-05,8.18945827336936e-05
feature_charisma21,-7.25219890606679e-05,0.00016046140593369137
feature_constitution103,-7.160922251021126e-05,8.89144981769259e-05
feature_constitution11,-6.998823456312358e-05,4.01664127227046e-05
feature_charisma65,-6.712137462818863e-05,0.00010837090577667245
feature_wisdom44,-6.511909548625178e-05,6.817060805579116e-05
feature_charisma24,-6.492014427208698e-05,0.0002058759936393047
feature_charisma14,-6.460164888867553e-05,0.00016566712112654392
feature_wisdom4,-6.439869751048843e-05,8.478551142328729e-05
feature_constitution15,-6.354926296455921e-05,4.5770032204642447e-05
feature_wisdom26,-6.236405422674029e-05,0.0002901409358770117
feature_constitution92,-6.230951953174732e-05,3.761725811045986e-05
feature_constitution4,-6.198551872493353e-05,4.051485534977324e-05
feature_constitution37,-6.189001819062616e-05,7.413961527955317e-05
feature_charisma40,-6.168191589085301e-05,8.873778331722753e-05
feature_charisma51,-6.062410067112469e-05,0.00010331187256694368
feature_constitution48,-5.9911045553393946e-05,4.467445363123848e-05
feature_charisma81,-5.905560311297249e-05,7.550447944564138e-05
feature_charisma62,-5.8282845641967646e-05,5.738476451388425e-05
feature_charisma44,-5.782071915155262e-05,0.0001242073545050094
feature_strength18,-5.7338294123401834e-05,5.2021562483502615e-05
feature_charisma71,-5.691557607168244e-05,9.545027432047138e-05
feature_strength15,-5.578086234586696e-05,0.00011899522791458066
feature_constitution3,-5.574364891182997e-05,5.401104585496524e-05
feature_constitution44,-5.363043395276055e-05,0.0001059914099206793
feature_constitution57,-5.1071548987642495e-05,3.526808763659613e-05
feature_charisma31,-4.7570523472621336e-05,9.157226770481953e-05
feature_constitution7,-4.6276117547964806e-05,2.4433849556492112e-05
feature_wisdom24,-4.509345632759398e-05,8.237320771759351e-05
feature_intelligence10,-4.0691416977518276e-05,0.00012771969896226376
feature_strength8,-3.948035703875897e-05,5.669225823559189e-05
feature_constitution31,-3.778535299146116e-05,9.1518713484741e-05
feature_constitution46,-3.4298535228034205e-05,0.00013825722291875046
feature_charisma29,-3.4174446884975776e-05,4.940335756928887e-05
feature_strength38,-3.336742581627982e-05,3.475044952386208e-05
feature_constitution74,-2.9075999504973685e-05,5.542203366250693e-05
feature_constitution34,-2.895787355616703e-05,0.00017508781289286515
feature_intelligence12,-2.7247964309253744e-05,0.0002921917582556608
feature_constitution24,-2.7123148507234323e-05,0.0001150213302679449
feature_constitution91,-2.4266330331677415e-05,6.097169145753866e-05
feature_wisdom43,-2.425476730741927e-05,9.405277754733472e-05
feature_charisma52,-2.2403556746123015e-05,0.00014281763725292228
feature_charisma64,-2.2338266818537454e-05,0.00011739700889063819
feature_wisdom29,-2.1506999058468716e-05,2.79849910755702e-05
feature_charisma79,-2.0291976449424863e-05,1.2971036043756723e-05
feature_strength29,-1.930337852054907e-05,6.85684142832952e-05
feature_wisdom25,-1.8984649015139008e-05,5.799314853853126e-05
feature_charisma26,-1.6306328416136692e-05,8.383440591481924e-05
feature_constitution2,-1.5016042229107774e-05,4.599138382332661e-05
feature_wisdom5,-1.4785913260969783e-05,8.568860655731495e-05
feature_constitution79,-1.4590581873431924e-05,5.1641376073556305e-05
feature_charisma48,-1.1793366242727955e-05,3.790414364147186e-05
feature_constitution106,-1.1271659495068769e-05,4.343548531468694e-05
feature_constitution55,-1.099400647816085e-05,0.0001406754030828636
feature_wisdom41,-9.883762245429932e-06,8.26880619837761e-05
feature_charisma34,-8.335014674415168e-06,3.565462664713456e-05
feature_constitution104,-7.259780018756842e-06,4.411313623287929e-05
feature_constitution21,-7.218820889380546e-06,5.775342913849776e-05
feature_constitution85,-4.7845829677821575e-06,7.673995935513453e-05
feature_strength17,-4.235770490666228e-06,9.877380814569343e-05
feature_constitution110,-4.03742809518361e-06,8.574526755510017e-05
feature_strength16,-2.9962792381800715e-06,4.710246683214964e-05
feature_constitution59,-2.9837481387148575e-06,0.00019796265000722357
