,mean,std
PCA_89,-0.0003901954706591754,0.00011195519441353606
PCA_194,-0.0002975869114215274,0.0002580817598869262
PCA_161,-0.00021655853756539324,0.0002900326007935123
PCA_111,-0.00021165223717764013,0.0003133604733682205
PCA_29,-0.00020133682439490262,0.00018837206729241274
PCA_207,-0.00019925216220780304,0.00015546292841454764
PCA_1,-0.0001812122686105967,0.0001537710012080362
PCA_214,-0.00016821135981916698,0.00014238325961800818
PCA_163,-0.00016682055085832874,8.194066368298428e-05
PCA_115,-0.00015868118152717242,0.0003263130935804468
PCA_201,-0.00015867322727780846,8.311310124935554e-05
PCA_225,-0.000155048988949464,8.727029424330937e-05
PCA_235,-0.00015338111813703457,7.550806746337517e-05
PCA_166,-0.00015017919302755554,0.00013344614655988544
PCA_66,-0.0001479655420038425,0.00035594860319225735
PCA_30,-0.000132279668411795,0.00021463998808628833
PCA_45,-0.0001308245696249158,2.258797649360606e-05
PCA_96,-0.0001273958266109413,0.0001123635664629487
PCA_181,-0.00012020831416683394,0.0001919978654227631
PCA_224,-0.0001193589365723699,0.00010946639527897081
PCA_236,-0.00011720917299851496,0.00015312097078344275
PCA_2,-0.00011509464654128966,0.0001397478286165024
PCA_176,-0.00010866045206432602,8.054542706214525e-05
PCA_106,-0.00010788310574093032,0.00044018660249086364
PCA_131,-9.965045820543712e-05,0.00012998897643520108
PCA_238,-9.327830597193214e-05,3.904083952762878e-05
PCA_26,-8.898765608055221e-05,0.0003202170987714269
PCA_218,-8.340502053617381e-05,8.907481854645709e-05
PCA_33,-8.279318104410818e-05,0.00014883131903403672
PCA_116,-8.199281457850165e-05,0.0001368286781473101
PCA_211,-7.989824714723273e-05,9.85296122981435e-05
PCA_43,-7.751693326918155e-05,0.0001803120172876801
PCA_121,-7.304481991580577e-05,0.0002583218718060736
PCA_27,-7.010081380302006e-05,0.00013285108735408237
PCA_55,-7.008706801270767e-05,0.0002603025087534079
PCA_228,-6.877959562378718e-05,3.685089437476723e-05
PCA_85,-6.79824537892947e-05,9.45575591892061e-05
PCA_221,-6.771049850438945e-05,4.968298946500753e-05
PCA_198,-6.658604636255646e-05,7.546868496368545e-05
PCA_71,-6.400523332777649e-05,0.00015675773687050303
PCA_93,-6.329206729103675e-05,2.9809052182221484e-05
PCA_160,-5.8535106708203276e-05,4.829082035466319e-05
PCA_110,-5.7260655618005656e-05,0.00014276947477323584
PCA_41,-5.250117554585425e-05,9.337471228162175e-05
PCA_118,-5.007264277754528e-05,3.4892319584307827e-05
PCA_62,-4.2737183784707004e-05,3.1599849548158106e-05
PCA_75,-4.164574339065513e-05,8.725103995251215e-05
PCA_128,-4.0689755728762e-05,3.9859880354091085e-05
PCA_168,-3.872311971107722e-05,0.00013433557821935412
PCA_28,-3.807856458662251e-05,0.0001727639003536185
PCA_170,-3.568518670341313e-05,6.321437593645958e-05
PCA_215,-3.50257150319657e-05,6.283472462364364e-05
PCA_125,-3.455298051135076e-05,0.00013858107613930735
PCA_222,-3.402328022884841e-05,0.00012064148647045616
PCA_152,-3.1946033694641656e-05,3.316516970365129e-05
PCA_64,-3.080360896214009e-05,0.00013529540733985275
PCA_162,-3.0488808836480506e-05,4.6505954524000994e-05
PCA_155,-3.0390366281295644e-05,6.834470038828919e-05
PCA_52,-2.9784203778227712e-05,7.063192462048924e-05
PCA_164,-2.9457564242943803e-05,0.00017246191596560065
PCA_229,-2.923927949284442e-05,7.267059108866427e-05
PCA_65,-2.8193584361567127e-05,0.00012280901352051664
PCA_148,-2.748452603519568e-05,2.9070072946864957e-05
PCA_105,-2.7147021341454777e-05,4.422564637811639e-05
PCA_200,-2.6929974593766888e-05,9.076978935190475e-05
PCA_79,-2.479026506396381e-05,3.3940006409918864e-05
PCA_186,-2.456580889569954e-05,2.3938312674576562e-05
PCA_167,-2.425207910524349e-05,1.7132525313579438e-05
PCA_99,-2.406291600794997e-05,5.04539961443417e-05
PCA_114,-2.3535098125060334e-05,0.00010444725552541219
PCA_136,-2.2090506509110614e-05,0.00012901485422101187
PCA_205,-2.173883189662416e-05,6.82476922763474e-05
PCA_227,-2.1464429097045375e-05,4.0644315833132514e-05
PCA_25,-2.145630901633827e-05,0.00015377953296376022
PCA_237,-2.1248896424595558e-05,8.87168813427038e-05
PCA_72,-2.0970005909207894e-05,2.6224225279721745e-05
PCA_133,-2.0943734420390055e-05,6.712873621108156e-05
PCA_158,-2.073631326317317e-05,0.00018158206953913255
PCA_98,-2.064802833714537e-05,4.301560947507715e-05
PCA_197,-2.0124081156469504e-05,1.365948788124389e-05
PCA_16,-1.9397925963775498e-05,5.328150744050396e-05
PCA_102,-1.8019012403667897e-05,2.764851403798337e-05
PCA_182,-1.7548343862847137e-05,0.00016019878613017518
PCA_187,-1.6672728433854125e-05,7.894367241320936e-05
PCA_138,-1.5500692400027915e-05,3.6131700615366934e-05
PCA_73,-1.318538735266587e-05,6.452869727665935e-05
PCA_185,-1.282281410298126e-05,4.61335292602772e-05
PCA_74,-1.136503147224335e-05,0.00010735397949012113
PCA_177,-9.743116586041068e-06,9.507783175564592e-05
PCA_190,-9.468627498575629e-06,1.9654449619107975e-05
PCA_12,-9.402616781201807e-06,0.00013592027630527576
PCA_230,-9.323384207764808e-06,6.080291719047327e-05
PCA_90,-7.437314970834587e-06,3.699729843515879e-05
PCA_169,-5.407027301037193e-06,9.526510598881324e-05
PCA_193,-5.30143107435085e-06,7.787044496648186e-05
PCA_180,-4.71950993818875e-06,2.4184938660708454e-05
PCA_209,-4.3105052073504595e-06,0.00013371973644711282
PCA_153,-3.679638655107976e-06,1.2084025076385235e-05
PCA_217,-2.6964437940705248e-06,4.763735906554507e-05
PCA_82,-2.3661373565156797e-06,6.715947121578257e-05
PCA_219,-2.0334604697488425e-06,5.5221873993968376e-05
PCA_80,-1.971927721501603e-06,4.426680990044441e-06
PCA_156,-1.8823526786954505e-06,0.00013243060299383588
PCA_122,-1.469003385526436e-06,0.0002193824980023799
PCA_143,3.344815277901654e-07,0.00019475617169715406
PCA_117,1.1194472099958804e-06,4.1241951981735176e-05
PCA_231,1.5056295420500724e-06,3.172197067916905e-05
PCA_199,4.575294381876989e-06,0.0001149517145221368
PCA_234,4.822495761726081e-06,3.68705889362928e-05
PCA_92,6.178811537390361e-06,7.290229993885785e-05
PCA_61,6.851340424643941e-06,6.14925709331233e-05
PCA_144,7.863534146332233e-06,3.166496677070369e-05
PCA_83,8.50789269723634e-06,3.0143878757885824e-05
PCA_13,1.0925958398256662e-05,5.744502963761081e-05
PCA_69,1.1468166276014195e-05,0.00014094270640813188
PCA_223,1.1873325167161014e-05,2.1319471036986614e-05
PCA_39,1.4058029941484367e-05,6.015511294046454e-05
PCA_23,1.5376099621318325e-05,7.058584759468327e-05
PCA_239,1.9674630093891568e-05,2.3034106836222835e-05
PCA_195,2.0064678604591648e-05,4.110323339738297e-05
PCA_34,2.140838267993311e-05,0.00010611744955514256
PCA_130,2.4333486848753903e-05,0.0002547880790410828
PCA_165,2.6515606913535998e-05,5.9012447777440876e-05
PCA_206,2.8471121067132267e-05,0.00010752787783250421
PCA_212,2.8838968373034542e-05,3.000222668698412e-05
PCA_183,2.942914851452803e-05,0.00010980172903720046
PCA_210,3.1975450194189475e-05,5.827640947230829e-05
PCA_134,3.251602040845493e-05,1.5072913591053792e-05
PCA_101,3.430481231293907e-05,0.0002097200539817594
PCA_132,3.6005281052141106e-05,0.00010023384595290298
PCA_87,3.9983613220676054e-05,4.840215785096616e-05
PCA_86,4.035794293550707e-05,6.300695041559978e-05
PCA_36,4.354105637855358e-05,0.0003548436683044543
PCA_202,4.410877442078828e-05,4.620386011782439e-05
PCA_226,4.462438248177616e-05,6.96721859406207e-05
PCA_233,4.495854952072049e-05,2.363295610871906e-05
PCA_213,4.5016039104393176e-05,5.0150897385827126e-05
PCA_11,4.703672708999212e-05,0.00015390594997475603
PCA_42,4.7075666329831364e-05,3.6822776232105876e-05
PCA_76,4.752111418626809e-05,7.286027136915972e-05
PCA_150,5.225850059629521e-05,2.1770109741285466e-05
PCA_179,5.540982740393158e-05,0.00012267510414346833
PCA_21,5.922841491809529e-05,4.036721116053018e-05
PCA_204,6.018993944674671e-05,2.338021558956731e-05
PCA_191,6.296540863737527e-05,0.00017623669325814035
PCA_94,6.372625638040546e-05,0.00011582270386768956
PCA_104,6.385917824496484e-05,0.00011418373542537374
PCA_157,6.893487435902515e-05,6.827136769830538e-05
PCA_188,7.040272359466858e-05,0.00011150866362476535
PCA_192,7.498136441563361e-05,4.7976672847701935e-05
PCA_145,7.601399214463096e-05,0.00013116876751002442
PCA_67,7.747901250916129e-05,9.131760136653326e-05
PCA_49,8.016056687127994e-05,7.279852997925576e-05
PCA_100,8.265137345872314e-05,4.980307895886023e-05
PCA_14,8.298612498285963e-05,0.0002899589491209731
PCA_103,8.427737643818148e-05,9.661439985178696e-05
PCA_95,8.660559961452497e-05,4.691168042166166e-05
PCA_4,8.719862865254327e-05,0.00016791916193741076
PCA_220,8.781517601087581e-05,0.00010659771147091922
PCA_38,8.807200521356799e-05,5.620531722634476e-05
