,mean,std
PCA_8,0.49857241797258933,0.0006531753286294796
PCA_74,0.4986020582286524,0.0003133614841624715
PCA_135,0.4986613383331977,0.0005111032933371797
PCA_38,0.4988526753584995,0.0003596583428648301
PCA_145,0.49890566925667557,0.0006451204205328218
PCA_125,0.4989693467782976,0.0003071990300283151
PCA_47,0.4989806245411967,0.0008540990084266883
PCA_206,0.4989924367506634,0.0005001379549449517
PCA_163,0.49901203504011865,0.0003945931024060202
PCA_233,0.49909335072317385,0.0006677275423892584
PCA_190,0.4990988682037985,0.0005786120772317812
PCA_148,0.49910586163155857,0.0004451005611820529
PCA_23,0.4991771223123386,0.0003013895445141072
PCA_191,0.49918325699293076,0.00010120671592565451
PCA_230,0.49918591538567647,0.0007692380061325421
PCA_88,0.4991872712492091,0.0005702806561309176
PCA_45,0.49925942023700837,0.0004902255196035009
PCA_105,0.4992744492265836,0.00025993074014070937
PCA_67,0.4992986436363214,0.0002637633543684159
PCA_237,0.49930542617429713,0.000635691821366373
PCA_217,0.49930673377248613,0.0006532462851787066
PCA_18,0.49931992293772287,0.00033915528144558684
PCA_239,0.4993448823014603,0.0005437053668466405
PCA_60,0.4993515283843891,0.0006052047320144729
PCA_77,0.4993581419033407,0.0002656320652222616
PCA_14,0.4993786761809522,0.0004466319536737445
PCA_109,0.4993832430093737,0.000568761414236697
PCA_199,0.4994057406722148,0.0003329850339303339
PCA_220,0.49940610062581803,0.0003986743371604888
PCA_58,0.49941919428817416,0.0005312193837342334
PCA_91,0.49945407032901323,0.0013378163400652743
PCA_138,0.4994570366778583,0.0009804923649322486
PCA_116,0.49946829010054233,0.0007894374317355411
PCA_100,0.49949041260530735,0.0005862865937403622
PCA_83,0.49949072187018356,0.00047746861984882655
PCA_215,0.4995002861835198,0.0004709858022576308
PCA_208,0.49952358221854043,0.00027705646716975305
PCA_59,0.499530492008435,0.0008752511431229908
PCA_179,0.49953928908217626,0.000473551456686737
PCA_212,0.49955286374694846,0.0010073030577591607
PCA_225,0.499553961345027,0.0002661755643947051
PCA_63,0.4995704359865284,0.0007760331957509767
PCA_61,0.49957976234260126,0.00047093393248028557
PCA_82,0.49961456775553426,0.0009936576794997776
PCA_80,0.49961696797067157,0.0004979477327172417
PCA_132,0.4996379250646122,0.00042134370775147843
PCA_207,0.49964285558068544,0.0004172712373652458
PCA_234,0.4996448580360532,0.00048004661162774767
PCA_34,0.49964861204711253,0.0007722499208110017
PCA_41,0.49965400156499484,0.0006165176633338327
PCA_64,0.49966188124093736,0.000955875982108262
PCA_128,0.49967442470623186,0.0004584695090719902
PCA_90,0.4996776699174183,0.0005167481857112901
PCA_214,0.4996902556215644,0.0008507899272595178
PCA_104,0.49969275045585715,0.00035147596343265025
PCA_48,0.499715061937542,0.0007668639901554336
PCA_157,0.4997293532518473,0.0004955797203886089
PCA_52,0.4997318500963093,0.0009400135437303797
PCA_213,0.49973569050273614,0.0003785552941932574
PCA_66,0.4997403983311964,0.000849600971094285
PCA_110,0.4997452246511619,0.00044424267654153424
PCA_238,0.4997528756928465,0.0004559368344699477
PCA_184,0.49975698890403863,0.0005098342670891319
PCA_229,0.499757635739873,0.00039325713777009697
PCA_30,0.49977486281164013,0.0008555779187430562
PCA_94,0.499794985134574,0.0004453120512445776
PCA_152,0.4998077504466642,0.0006568688539509516
PCA_121,0.4998090063939179,0.00048050967037263534
PCA_174,0.4998098603380957,0.0005673107580487877
PCA_25,0.4998167546836142,0.0002378214089124456
PCA_147,0.49981700138275026,0.0005403705923718293
PCA_182,0.499874462047541,0.0005644065177470318
PCA_151,0.4998797257328832,0.0007983716291519592
PCA_232,0.49989296694159435,0.0006488555106008999
PCA_106,0.49989317803939937,0.00043013279315784486
PCA_221,0.4998946033015866,0.0008387225830934068
PCA_50,0.4998962247549317,0.0002447636445158013
PCA_137,0.49990428415757365,0.000854966866729979
PCA_159,0.49990520256187454,0.00046218086112427684
PCA_15,0.4999174869505347,0.0005714034741440805
PCA_39,0.4999178531779248,0.00038316565435110806
PCA_53,0.49991928342091424,0.0006336332846867785
PCA_5,0.49992819174185305,0.0006319024713038979
PCA_111,0.49994127204454164,0.0002581934730682985
PCA_118,0.49994132491369225,0.0003692893651418327
PCA_62,0.49994215756121463,0.0005652830952507529
PCA_85,0.49995535154985105,0.0001700364836756884
PCA_21,0.49996010370263616,0.0008826800316725008
PCA_161,0.49996989792003343,0.0007244161977816183
PCA_46,0.499982987671896,0.00045920477205212324
PCA_169,0.4999920512175784,0.0008708242386736264
PCA_122,0.49999424694484834,0.0004743616016511288
PCA_56,0.4999956752391701,0.0006789892222056254
PCA_150,0.5000130792080836,0.0005726509416172577
PCA_73,0.500021090525683,0.0006189664177274155
PCA_197,0.500039035508151,0.000919002713704671
PCA_195,0.5000530827883793,0.0009178857509056899
PCA_65,0.5000533822796139,0.0006313794958626889
PCA_167,0.5000588033888912,0.0006471787165353661
PCA_144,0.500059435757733,0.0007839245987264749
PCA_107,0.5000660875037599,0.0006523049819159995
PCA_235,0.5000820822499553,0.0007177971361272209
PCA_102,0.5000906936350107,0.0002859636564231898
PCA_223,0.5000925002720613,0.0005999883262835412
PCA_37,0.5000925838547119,0.0004067212773104864
PCA_154,0.5000967706968846,0.0004001381576356706
PCA_202,0.5001014949550862,0.00029320891646294133
PCA_71,0.5001078986169537,0.00048568090541188907
PCA_92,0.5001096970561419,0.0005744950278006337
PCA_171,0.5001130198707896,0.00025721502985856927
PCA_51,0.5001208304264038,0.0006171692197549842
PCA_201,0.5001287284283121,0.0005565212251101635
PCA_200,0.5001348288799576,0.0005481954499794105
PCA_218,0.5001408453889864,0.0006187449111490769
PCA_36,0.5001461305918236,0.0005672870853063134
PCA_143,0.5001487716092121,0.00040049790681437867
PCA_175,0.5001790930984418,0.0002455292425423888
PCA_112,0.5001817665133272,0.0006206802212393523
PCA_26,0.5001824339552113,0.0007716131234494829
PCA_141,0.5001882974801758,0.00013664809554042657
PCA_149,0.5001904686275727,0.0005618779988949462
PCA_183,0.5002000600925814,0.00029168957057740903
PCA_198,0.5002027870049527,0.000915721007468693
PCA_211,0.5002116233136553,0.000521573725150335
PCA_133,0.5002123545788628,0.0003437443174328982
PCA_123,0.5002178173750129,0.0006904746126324379
PCA_76,0.5002182206074811,0.0004542361348117352
PCA_120,0.5002372809216804,0.0007342613524883273
PCA_227,0.5002435488171789,0.0005387176957283808
PCA_192,0.5002485687287839,0.00045094471734371606
PCA_203,0.500260230662326,0.00025675923218810074
PCA_86,0.5002637175843476,0.0007113588936646522
PCA_224,0.500271262549614,0.0005946463788381148
PCA_124,0.5002718894535373,0.0002924014172584442
PCA_222,0.5002902284713828,0.0005890105686987245
PCA_168,0.500298348102387,0.00045300610130713243
PCA_127,0.5003108458359213,0.0003634971355414179
PCA_209,0.5003124151952362,0.000621169865779227
PCA_113,0.5003159264534105,0.0006192159974745354
PCA_219,0.5003219628996181,0.00045894801144644154
PCA_180,0.5003294004336791,0.0007874912370713861
PCA_177,0.5003412598510477,0.0004950643785845853
PCA_81,0.5003601512626459,0.0004912737752185231
PCA_205,0.500362475512643,0.000265527657546943
PCA_9,0.5003628137705614,0.0006407806401947373
PCA_170,0.5003635485721554,0.0006565888549652007
PCA_158,0.5003669612727648,0.000698510229341818
PCA_69,0.500378821814763,0.00018887745802886936
PCA_189,0.5003869427863543,0.000585350618266001
PCA_44,0.50039459734152,0.0004912592761728045
PCA_193,0.5003982055534619,0.0006662699107456792
PCA_75,0.5004012898403991,0.00034401020683138634
PCA_130,0.5004189631056966,0.00032358292853864766
PCA_16,0.5004254277041418,0.0005933974529131962
PCA_13,0.5004504532670401,0.0006319899178954258
PCA_129,0.5004509065625287,0.000540127366611279
PCA_99,0.5004572215789198,0.0005920896747715675
PCA_55,0.5004623625612377,0.000257119231126591
