mean,std
feature_intelligence1,0.003790624142441117,0.00012635398543602006
feature_intelligence2,0.0038134779316934923,2.1593450010240455e-05
feature_intelligence3,0.0038303798218527274,2.290600444658261e-05
feature_intelligence4,0.004133315955450016,4.6033070082566606e-05
feature_intelligence5,0.003613651388202168,2.066726278447966e-05
feature_intelligence6,0.0035868691141855242,1.6393637628161348e-05
feature_intelligence7,0.003643171329460785,1.6017872119557994e-05
feature_intelligence8,0.0036541832237866794,5.063011321731952e-05
feature_intelligence9,0.003483527219453991,1.740556677169881e-05
feature_intelligence10,0.0035252618927659185,2.465126641305678e-05
feature_intelligence11,0.004038162818691598,6.68451079560957e-05
feature_intelligence12,0.003619399442216681,1.9254718789019657e-05
feature_charisma1,0.004050080948638512,2.3510165064103662e-05
feature_charisma2,0.003513688820861505,1.9626001612360163e-05
feature_charisma3,0.0037120204073301773,1.9683625963814593e-05
feature_charisma4,0.0036080794184839703,2.1016160594296003e-05
feature_charisma5,0.002938625924441665,1.4816567997603153e-05
feature_charisma6,0.003670583265963741,1.7558987185592722e-05
feature_charisma7,0.0035274836416630275,1.5536124361202995e-05
feature_charisma8,0.0029495657332579755,1.2811585269987635e-05
feature_charisma9,0.00414980944373514,1.945552557128727e-05
feature_charisma10,0.0031413832176797277,1.4949114543848187e-05
feature_charisma11,0.003500856407481301,1.595891940998313e-05
feature_charisma12,0.003614988336849914,1.8147769789698007e-05
feature_charisma13,0.0037096635778366156,2.11500063938075e-05
feature_charisma14,0.0035455244618849864,1.5216382644376028e-05
feature_charisma15,0.002938404730745121,1.398651505755952e-05
feature_charisma16,0.0034442095014216175,1.7595674018400856e-05
feature_charisma17,0.0035601511391929676,1.6123904843925638e-05
feature_charisma18,0.003436710644194985,1.91608039402403e-05
feature_charisma19,0.003996023267822142,2.7212702966614877e-05
feature_charisma20,0.0036261864410247003,1.5455508993456724e-05
feature_charisma21,0.00335907605032843,1.702190641959652e-05
feature_charisma22,0.0030920134158199486,1.588666192753184e-05
feature_charisma23,0.0034934735956918795,1.6499581159579325e-05
feature_charisma24,0.00345125642682594,1.9730837219809602e-05
feature_charisma25,0.0025759545039822206,1.5982160847942516e-05
feature_charisma26,0.003491873834474447,1.6356982871602195e-05
feature_charisma27,0.0026229265771628074,1.6089077759173833e-05
feature_charisma28,0.0034238853065420728,1.5248788919982558e-05
feature_charisma29,0.003517348009639916,1.643305397956376e-05
feature_charisma30,0.0036848322157667823,2.0275176591189644e-05
feature_charisma31,0.0035492630588857647,2.018678046728089e-05
feature_charisma32,0.0029427259401614268,1.6701732988039417e-05
feature_charisma33,0.003521943252590529,1.622246647779535e-05
feature_charisma34,0.003602242633529358,1.7483833824049844e-05
feature_charisma35,0.0034211393341886187,1.8770955678711577e-05
feature_charisma36,0.0033863942719773565,2.484069238004551e-05
feature_charisma37,0.0035103480213471406,1.686469520688145e-05
feature_charisma38,0.0036346123338623776,1.90132933506444e-05
feature_charisma39,0.0034444920188980545,1.6269582836981463e-05
feature_charisma40,0.0034794614928141433,1.565932424414681e-05
feature_charisma41,0.002856044894379465,1.2870841388250524e-05
feature_charisma42,0.0034307342531475064,1.6758561083998966e-05
feature_charisma43,0.00382231766500417,1.7696609205296206e-05
feature_charisma44,0.0030870130524352822,1.6016574570466414e-05
feature_charisma45,0.003783322302758024,1.9725353751536244e-05
feature_charisma46,0.0037526875913210258,1.967786168822315e-05
feature_charisma47,0.0026014768897658154,1.3636528262499809e-05
feature_charisma48,0.0029249078124109033,1.6077438357144707e-05
feature_charisma49,0.003199634467125537,1.5884027458549075e-05
feature_charisma50,0.0036083098241418286,1.5410038768584758e-05
feature_charisma51,0.003642822640071014,1.718017011489929e-05
feature_charisma52,0.0036465366989210015,1.7083023965317217e-05
feature_charisma53,0.003474378894956503,1.7186907007417124e-05
feature_charisma54,0.0036971363395452,2.0618970720600423e-05
feature_charisma55,0.0036397610044504526,1.801170407285931e-05
feature_charisma56,0.003170678629212874,1.570703644018739e-05
feature_charisma57,0.0034830049274916608,1.5292120126438106e-05
feature_charisma58,0.003453822240866203,1.3346738521378909e-05
feature_charisma59,0.002853742718445535,1.3481256747077099e-05
feature_charisma60,0.003101182539555721,1.595892606403982e-05
feature_charisma61,0.0034760824990937834,1.727119057917877e-05
feature_charisma62,0.003600500499369744,1.5664349361654086e-05
feature_charisma63,0.0037846962720779046,1.605872688574211e-05
feature_charisma64,0.003614580264007544,1.360652364036814e-05
feature_charisma65,0.0031444285034265347,1.6138877492660474e-05
feature_charisma66,0.0036657569630863624,1.66889368519403e-05
feature_charisma67,0.003499283699025058,1.581333714722913e-05
feature_charisma68,0.003502447146246401,1.7333756649541716e-05
feature_charisma69,0.004163009089325652,2.0990379010971862e-05
feature_charisma70,0.0037795781588867415,1.973208565117596e-05
feature_charisma71,0.0034870786802009535,1.8004662291122696e-05
feature_charisma72,0.0036102022366126547,1.770850701886427e-05
feature_charisma73,0.0032441425891842975,1.710136916317634e-05
feature_charisma74,0.003053558533965814,1.60430471854475e-05
feature_charisma75,0.0034474758980111075,1.7016467844853337e-05
feature_charisma76,0.0034120991686917403,2.3802171269453305e-05
feature_charisma77,0.002646961048080813,1.6154369457752255e-05
feature_charisma78,0.003099689397638999,1.3405696185906686e-05
feature_charisma79,0.00294954107211165,1.4693050741473973e-05
feature_charisma80,0.0035950130101273458,1.7201013787644336e-05
feature_charisma81,0.003453426103058407,1.9664245051027044e-05
feature_charisma82,0.0034731712159170695,1.5444288821307304e-05
feature_charisma83,0.0035029303574341157,1.8336218499725476e-05
feature_charisma84,0.0035454847228137886,1.7465212923121303e-05
feature_charisma85,0.0037907229799156662,1.9517344412890924e-05
feature_charisma86,0.003497272120797939,1.6759329533434353e-05
feature_strength1,0.003126231834542902,1.5486827879709936e-05
feature_strength2,0.002920046367278193,1.323701499823087e-05
feature_strength3,0.0033379970553627123,1.5507687516152677e-05
feature_strength4,0.003044159515384373,1.9225365670336333e-05
feature_strength5,0.003162167879498225,1.5007875377148968e-05
feature_strength6,0.0027938055723490253,1.352188674991875e-05
feature_strength7,0.003212091275537217,1.5570187811415595e-05
feature_strength8,0.003144478883085732,1.5431666201740612e-05
feature_strength9,0.0032316023499976477,1.4477037031639679e-05
feature_strength10,0.0033494333179606515,1.548949384476529e-05
feature_strength11,0.0031261074766681775,1.4684672347355877e-05
feature_strength12,0.0032359426019366653,2.9351889869582522e-05
feature_strength13,0.0031710360792408286,1.667194481199622e-05
feature_strength14,0.0033640384997817518,1.8526772581509992e-05
feature_strength15,0.0030932928382940606,1.3990941651176779e-05
feature_strength16,0.002791316891623039,1.5584159523103354e-05
feature_strength17,0.002806415949066736,1.5672552278931946e-05
feature_strength18,0.003104970820659336,1.4440223503189683e-05
feature_strength19,0.0033213530501279304,1.9295458137739555e-05
feature_strength20,0.0018596423721541422,1.1615647568227294e-05
feature_strength21,0.003066269662772792,1.4553740757627444e-05
feature_strength22,0.003174472282501784,1.4695292101735592e-05
feature_strength23,0.0027408122948759423,1.4345133242907587e-05
feature_strength24,0.003333486999262278,1.570688197973063e-05
feature_strength25,0.0032044065138468964,1.5149989406693165e-05
feature_strength26,0.0031242422815416105,1.3231019012606918e-05
feature_strength27,0.0031440980737305647,1.4446889096834706e-05
feature_strength28,0.003106842403834504,1.4592176299501606e-05
feature_strength29,0.0032931393042584306,1.6369733198528504e-05
feature_strength30,0.003268586769148306,2.0259929654278547e-05
feature_strength31,0.0032354447876667713,2.0822832193020558e-05
feature_strength32,0.0028908528170993276,1.4030454026374212e-05
feature_strength33,0.0030582608904666203,1.6011088780047285e-05
feature_strength34,0.0033614496517175374,1.670771355829316e-05
feature_strength35,0.003167979940866079,1.528248204043598e-05
feature_strength36,0.0033393553871928043,1.639736836488122e-05
feature_strength37,0.0031328149727757487,1.4719288389866747e-05
feature_strength38,0.0018448549159442587,1.2399935054226033e-05
feature_dexterity1,0.0037918709527144743,1.9552887832250672e-05
feature_dexterity2,0.0036959323534323358,3.419427074129962e-05
feature_dexterity3,0.0039586740078254605,2.627904970763892e-05
feature_dexterity4,0.004379406768470254,2.1662364662433967e-05
feature_dexterity5,0.003752048174700532,1.9840647680724672e-05
feature_dexterity6,0.004106446853701833,4.065952929058469e-05
feature_dexterity7,0.00440730456687261,1.9838835329262943e-05
feature_dexterity8,0.004042422156920948,3.259343520642934e-05
feature_dexterity9,0.0038395596064270485,1.9041286667488063e-05
feature_dexterity10,0.003659192936634045,2.2832506781948628e-05
feature_dexterity11,0.004172550156751794,2.506556302890412e-05
feature_dexterity12,0.003983300619750208,2.911183385788854e-05
feature_dexterity13,0.003783089826672639,1.878899102637485e-05
feature_dexterity14,0.003941618655656785,2.816268799146902e-05
feature_constitution1,0.0029306440147185346,1.6619090262622268e-05
feature_constitution2,0.003095301608352674,2.5772479427223998e-05
feature_constitution3,0.003148499855375875,1.5128644841883797e-05
feature_constitution4,0.002632536229733307,2.3227375201505068e-05
feature_constitution5,0.0030811633490409524,1.639587639170574e-05
feature_constitution6,0.0030619544398402614,1.6952048908040615e-05
feature_constitution7,0.0031152536919017404,1.536094790016598e-05
feature_constitution8,0.003087475280344661,1.2697914328068479e-05
feature_constitution9,0.002971265132224088,1.7415927400710265e-05
feature_constitution10,0.003075692389424707,1.6172661273741084e-05
feature_constitution11,0.0029094979781768187,1.3136345045065996e-05
feature_constitution12,0.0035885316564115925,1.83171838276632e-05
feature_constitution13,0.0031495925395318087,1.6426779510107662e-05
feature_constitution14,0.002898657577993321,1.6243953066130116e-05
feature_constitution15,0.0031079619645089994,1.4308283934735142e-05
feature_constitution16,0.002983534704636988,1.4646645580607048e-05
feature_constitution17,0.0030760681523222992,1.548880984101046e-05
feature_constitution18,0.0030371526124186466,1.4896509260577203e-05
feature_constitution19,0.0028409342509335463,2.6304421613345657e-05
feature_constitution20,0.002932530960749988,1.5716770698830187e-05
feature_constitution21,0.0029959538808126797,1.4134786387254569e-05
feature_constitution22,0.002905693524694676,1.6271103386699545e-05
feature_constitution23,0.0031819134218928273,1.8183063133159096e-05
feature_constitution24,0.003036645179268631,1.5557303221209585e-05
feature_constitution25,0.002913023047348011,1.4594698427062349e-05
feature_constitution26,0.0028879474590569904,1.8307933367210238e-05
feature_constitution27,0.0031703632121130305,1.676694719498845e-05
feature_constitution28,0.0028765576273989874,1.455134022290322e-05
feature_constitution29,0.003448407463227142,1.8307348741674735e-05
feature_constitution30,0.002912992740671727,1.3782979911754148e-05
feature_constitution31,0.003436507610516504,2.6248197092428786e-05
feature_constitution32,0.002974015819941488,1.3931849610161866e-05
feature_constitution33,0.003035486292850408,1.4569855735428194e-05
feature_constitution34,0.0027278744083147786,2.875382850623504e-05
feature_constitution35,0.002644426373726399,2.4117452390722075e-05
feature_constitution36,0.0027385357520889665,1.6820845046422948e-05
feature_constitution37,0.0031047916530076614,1.4356542441506592e-05
feature_constitution38,0.00308088569936948,1.5070968572112593e-05
feature_constitution39,0.00300599614633435,1.6734799597768103e-05
feature_constitution40,0.0029926172957283944,1.6079249584186854e-05
feature_constitution41,0.0031127388205085976,1.866111339117094e-05
feature_constitution42,0.00291692587531836,1.5738186201056883e-05
feature_constitution43,0.0029120052717438575,1.5595152134876026e-05
feature_constitution44,0.0030124275455079823,1.895796395340696e-05
feature_constitution45,0.00278477424520252,2.7087100706313568e-05
feature_constitution46,0.002964822245547148,1.8383847786682575e-05
feature_constitution47,0.0027717419793478557,1.4225385324462564e-05
feature_constitution48,0.0030457937946505743,1.2555747563085881e-05
feature_constitution49,0.002676889118941355,1.4513208892347159e-05
feature_constitution50,0.0034416552798923073,1.900765444078481e-05
feature_constitution51,0.0029115197840004887,1.5749599657006065e-05
feature_constitution52,0.0036336943604756773,1.6538492850713335e-05
feature_constitution53,0.0031812337203053587,1.7031513713597767e-05
feature_constitution54,0.0029209866764041874,4.173442907723821e-05
feature_constitution55,0.0029894938115467263,3.242443884520249e-05
feature_constitution56,0.0031739319227499963,1.4343102583303405e-05
feature_constitution57,0.00299630053708699,1.5745869436739518e-05
feature_constitution58,0.003117104655667435,1.5592329868389432e-05
feature_constitution59,0.0029314469964416595,1.5381522654134917e-05
feature_constitution60,0.0028853667333234643,1.612862422992742e-05
feature_constitution61,0.002995622221666403,2.0876555329180408e-05
feature_constitution62,0.0028998416991136296,1.6135860346173163e-05
feature_constitution63,0.0031126281593992435,5.9785299316815315e-05
feature_constitution64,0.0029474158668501083,1.838345544427486e-05
feature_constitution65,0.0030233672066625685,1.869797343101317e-05
feature_constitution66,0.002955333131822157,1.4592358517674443e-05
feature_constitution67,0.003076672527520342,1.601889650596003e-05
feature_constitution68,0.003096430806582494,1.3727117777712588e-05
feature_constitution69,0.0035572402188772823,1.633963326838218e-05
feature_constitution70,0.002986274578053254,1.5362199823374847e-05
feature_constitution71,0.00311920734318583,1.4461463565123936e-05
feature_constitution72,0.003018885477740544,1.9286749489634416e-05
feature_constitution73,0.003003460605805365,1.6224842844692994e-05
feature_constitution74,0.003022914638721383,1.501669550850258e-05
feature_constitution75,0.0029150932486023446,1.433670374290526e-05
feature_constitution76,0.0032133902723600403,1.5270405148525966e-05
feature_constitution77,0.0030150572479123593,1.3979245572029079e-05
feature_constitution78,0.0027385104659705456,1.555793543096913e-05
feature_constitution79,0.0031617039256746204,1.3820595526032865e-05
feature_constitution80,0.002909476493756314,1.6104974799657806e-05
feature_constitution81,0.002894354979464656,1.5273821147715394e-05
feature_constitution82,0.0030516034083036864,1.6597995491867342e-05
feature_constitution83,0.003105311142670548,1.7336883970038333e-05
feature_constitution84,0.0028655474176233946,1.6413562359924768e-05
feature_constitution85,0.002929046388092607,1.6480689891847427e-05
feature_constitution86,0.0031761819920297237,1.5162329230384623e-05
feature_constitution87,0.0029582046388640596,1.6508323592246083e-05
feature_constitution88,0.0030248202130177294,1.5286675899679788e-05
feature_constitution89,0.0032570761698061945,1.5886721022497804e-05
feature_constitution90,0.0030238089594129174,1.722020347508159e-05
feature_constitution91,0.0031541854533544415,1.6415683872355834e-05
feature_constitution92,0.0029423164112248774,1.7195795451246322e-05
feature_constitution93,0.0030079868614414406,2.0685802327241286e-05
feature_constitution94,0.003086104452916219,1.570987785859894e-05
feature_constitution95,0.002879067196089402,1.4832267134877915e-05
feature_constitution96,0.0029098206729179375,1.6845055992814364e-05
feature_constitution97,0.00300635085452936,1.725608940618884e-05
feature_constitution98,0.002895119987824975,1.62313694941718e-05
feature_constitution99,0.0029782242285223953,1.4303160758105992e-05
feature_constitution100,0.003139006493156397,1.6822776370631367e-05
feature_constitution101,0.0035951044300385347,2.5411282729700902e-05
feature_constitution102,0.0031189798158781003,1.4000831677780446e-05
feature_constitution103,0.003054131117159549,1.5848648266895868e-05
feature_constitution104,0.0034785600618555,4.037828077255523e-05
feature_constitution105,0.0025865507130630795,1.667651201963544e-05
feature_constitution106,0.0028951264151996408,1.5889734051926644e-05
feature_constitution107,0.0030504143814310282,1.7597308730933577e-05
feature_constitution108,0.003076796547788557,1.689242382815025e-05
feature_constitution109,0.0027090547759738496,1.8725608159634666e-05
feature_constitution110,0.00322749634530082,1.6805850446851585e-05
feature_constitution111,0.0031263960704613104,1.5525784971729613e-05
feature_constitution112,0.002931941321409726,1.61565054276085e-05
feature_constitution113,0.002748360769078961,1.8426715942641536e-05
feature_constitution114,0.003059354571778079,1.4817739443398267e-05
feature_wisdom1,0.0030583250377483177,1.837660987822591e-05
feature_wisdom2,0.0028993810947418285,2.7337559623783565e-05
feature_wisdom3,0.003148970875057295,1.5728113130206784e-05
feature_wisdom4,0.0031168312550294763,3.0007837298275153e-05
feature_wisdom5,0.0030686620774290968,1.7624213598315924e-05
feature_wisdom6,0.00315969131556735,1.42816114578048e-05
feature_wisdom7,0.002857757053765944,2.6400766448238533e-05
feature_wisdom8,0.003088086609093912,1.4586816446734026e-05
feature_wisdom9,0.0032086714114339192,1.608744181902814e-05
feature_wisdom10,0.0031731300426129675,2.9079133956258965e-05
feature_wisdom11,0.003164977114756136,1.3918691607355232e-05
feature_wisdom12,0.002890468245675352,1.615950056796913e-05
feature_wisdom13,0.0031339985184973187,3.153833458270005e-05
feature_wisdom14,0.0032276223913663502,7.640665867872884e-05
feature_wisdom15,0.002961449261594775,1.5097340210704404e-05
feature_wisdom16,0.003085735050581512,1.6503891323216163e-05
feature_wisdom17,0.0032236903688258912,1.958535282748902e-05
feature_wisdom18,0.003114963748845792,1.5781727860108184e-05
