mean,std
feature_intelligence1,0.005644083104670329,3.807771061296052e-05
feature_intelligence2,0.0038675964282787684,1.3914118444188259e-05
feature_intelligence3,0.0038310091691176854,1.4262815436585514e-05
feature_intelligence4,0.004685429991826695,1.6499435962717962e-05
feature_intelligence5,0.004171735455029187,1.643886276518157e-05
feature_intelligence6,0.004443393295250892,1.7347248670236622e-05
feature_intelligence7,0.004441894489605453,1.7523229931547656e-05
feature_intelligence8,0.028891981212969105,4.953989522511432e-05
feature_intelligence9,0.0034193578800634284,1.4821734395186854e-05
feature_intelligence10,0.0033482304126783774,1.4359075792885147e-05
feature_intelligence11,0.004279840929961687,1.6567579386917088e-05
feature_intelligence12,0.0041607336536529805,1.615953791098468e-05
feature_charisma1,0.005218224482926572,1.7523123251167777e-05
feature_charisma2,0.004022582271042364,1.563027582413125e-05
feature_charisma3,0.00466819165538927,1.5136969923551182e-05
feature_charisma4,0.004519953933106291,1.6624099762350984e-05
feature_charisma5,0.0028909004151477955,1.4322554072506859e-05
feature_charisma6,0.003968498359664335,1.5195997936237163e-05
feature_charisma7,0.004637233943426006,1.6193722822866254e-05
feature_charisma8,0.0030842024953554206,1.4565835778349752e-05
feature_charisma9,0.005071588347269488,1.840911611550761e-05
feature_charisma10,0.0034788752601718855,1.5538449519783494e-05
feature_charisma11,0.004043790930113073,1.5582253284890976e-05
feature_charisma12,0.0040036518200792645,1.5825655584422352e-05
feature_charisma13,0.004798897398946184,1.7124519914400558e-05
feature_charisma14,0.003743406471815158,1.4531579981860056e-05
feature_charisma15,0.0030282779824150896,1.3841697813386437e-05
feature_charisma16,0.0033861963916677327,1.4064321752815436e-05
feature_charisma17,0.004364610089745016,1.6576202965549968e-05
feature_charisma18,0.0029330914095153067,1.3377564818182136e-05
feature_charisma19,0.005055067719885336,1.6647851563813593e-05
feature_charisma20,0.004230944481889655,1.5697673040193604e-05
feature_charisma21,0.003413850019226602,1.4256040003150725e-05
feature_charisma22,0.0030248683574235482,1.3965288215944935e-05
feature_charisma23,0.0037951708180344675,1.489639851415399e-05
feature_charisma24,0.00385625464743879,1.4757169981538415e-05
feature_charisma25,0.0024195184604465835,1.3073672296884794e-05
feature_charisma26,0.00349351048268558,1.5227961950119983e-05
feature_charisma27,0.002246595479592042,1.1941594611273843e-05
feature_charisma28,0.0037322732767497693,1.5536747307031044e-05
feature_charisma29,0.0035445316936952376,1.5095903075301165e-05
feature_charisma30,0.004144307633736904,1.614205075396804e-05
feature_charisma31,0.0035678616967234236,1.4547161985469597e-05
feature_charisma32,0.002908716560404245,1.3931719374172526e-05
feature_charisma33,0.003633003750443501,1.4422552845099784e-05
feature_charisma34,0.0037625937224652303,1.4239724947490619e-05
feature_charisma35,0.0033494008254365826,1.3633634108337705e-05
feature_charisma36,0.003442842308388786,1.5370597445347243e-05
feature_charisma37,0.0032303975029789717,1.4334798175406325e-05
feature_charisma38,0.0040937031542879945,1.6765441895803345e-05
feature_charisma39,0.003664371024264756,1.4214815520719302e-05
feature_charisma40,0.0032186519468292265,1.186129349347753e-05
feature_charisma41,0.002853354297311122,1.3378308790520268e-05
feature_charisma42,0.0033350786002981176,1.4929013360791891e-05
feature_charisma43,0.004173862018704475,1.4647272957709018e-05
feature_charisma44,0.003178114684661928,1.497129231897756e-05
feature_charisma45,0.004761963473238369,1.560156247246754e-05
feature_charisma46,0.0043448827701713525,1.6094471279792286e-05
feature_charisma47,0.002420775603573929,1.2998990740683336e-05
feature_charisma48,0.002862231969978363,1.355253832109297e-05
feature_charisma49,0.00355749591412838,1.4384078804441772e-05
feature_charisma50,0.004621422584546173,1.623695179808893e-05
feature_charisma51,0.0038255873347739252,1.61772691803444e-05
feature_charisma52,0.00392639703869915,1.4870482632354456e-05
feature_charisma53,0.003840695917819287,1.5213892782733826e-05
feature_charisma54,0.003982057089748609,1.4945302169811306e-05
feature_charisma55,0.0038833328893627668,1.5008486298106707e-05
feature_charisma56,0.003217098291779985,1.3173808516578307e-05
feature_charisma57,0.004006397094207204,1.4957313574710661e-05
feature_charisma58,0.0039425050554507185,1.5122235882383366e-05
feature_charisma59,0.0027521822590530084,1.2575743702732572e-05
feature_charisma60,0.0030566814825572974,1.4538466423711774e-05
feature_charisma61,0.0033257097994053406,1.4388458334476028e-05
feature_charisma62,0.0038010059188657657,1.583135052941537e-05
feature_charisma63,0.004010039986628811,1.5394187640581037e-05
feature_charisma64,0.00415994532481265,1.6434661142822894e-05
feature_charisma65,0.003226707595418428,1.3951909575524753e-05
feature_charisma66,0.0041502174752866645,1.550494261006266e-05
feature_charisma67,0.0035720066764257635,1.5318207864871388e-05
feature_charisma68,0.003828736096245772,1.5544146047677596e-05
feature_charisma69,0.005114870896560521,1.7194913066881504e-05
feature_charisma70,0.004148171920923316,1.5864055048965924e-05
feature_charisma71,0.0033595669261087557,1.343976081819851e-05
feature_charisma72,0.004763963075312977,1.7048713938505652e-05
feature_charisma73,0.003573454765553098,1.3083300839111579e-05
feature_charisma74,0.003098906918835224,1.5441600398241486e-05
feature_charisma75,0.003331603475704915,1.449548118407158e-05
feature_charisma76,0.002574911272030877,1.2015063801105801e-05
feature_charisma77,0.0023152185327849676,1.2165772256121145e-05
feature_charisma78,0.003326826473733622,1.5417980560420663e-05
feature_charisma79,0.002989046897830474,1.4328392750947117e-05
feature_charisma80,0.004071200871666578,1.4801979374298283e-05
feature_charisma81,0.0027505424086973988,1.3372583009320698e-05
feature_charisma82,0.0037833237829084532,1.465408096052523e-05
feature_charisma83,0.004104273050508027,1.58886503676332e-05
feature_charisma84,0.0038045066051653324,1.4238510454633635e-05
feature_charisma85,0.004009105120959017,1.5503028336953508e-05
feature_charisma86,0.003804453663648289,1.480645130702158e-05
feature_strength1,0.0027842162351302134,1.3733800852866215e-05
feature_strength2,0.002393116494901196,1.2368378619019972e-05
feature_strength3,0.003543815182518891,1.5588896186239118e-05
feature_strength4,0.002674941283770167,1.3494925799672842e-05
feature_strength5,0.0032462575898669467,1.457362912998289e-05
feature_strength6,0.0026299227748658865,1.2764077628626372e-05
feature_strength7,0.00368737219798159,1.476742166306733e-05
feature_strength8,0.0031247831034190727,1.5028525590356838e-05
feature_strength9,0.0033584150950635,1.477667062048037e-05
feature_strength10,0.0036343625567865677,1.5067860421308993e-05
feature_strength11,0.0029252820845076634,1.4433546674092615e-05
feature_strength12,0.0033328644256014847,1.4570647258248791e-05
feature_strength13,0.003255706083284427,1.5231938654977194e-05
feature_strength14,0.003920363553297003,1.5739901586389685e-05
feature_strength15,0.0029242061552955285,1.3190564538808771e-05
feature_strength16,0.0019426064117018173,1.0458074210948522e-05
feature_strength17,0.0026330568316925798,1.2119246886043255e-05
feature_strength18,0.0030798355959433307,1.4561142757942581e-05
