mean,std
feature_intelligence1,0.0032926574997442586,1.869683979924908e-05
feature_intelligence2,0.0038255970821692905,2.485838189996584e-05
feature_intelligence3,0.0037776707228783374,2.7386483088999344e-05
feature_intelligence4,0.0037076531764860103,2.333379488052233e-05
feature_intelligence5,0.0037236772331157852,2.4399078682549904e-05
feature_intelligence6,0.0036826801365334927,2.213457200092538e-05
feature_intelligence7,0.0037399389573026186,2.2227706215123672e-05
feature_intelligence8,0.0032011047521654317,2.256391451759566e-05
feature_intelligence9,0.0035608494145297144,2.354597294388926e-05
feature_intelligence10,0.0034621567273529475,2.149146816577919e-05
feature_intelligence11,0.003780052688530185,2.023460631007465e-05
feature_intelligence12,0.003669759361235173,2.2062251938880504e-05
feature_charisma1,0.004186802800365142,2.6007758700971304e-05
feature_charisma2,0.0034855220077375654,2.5838150266111686e-05
feature_charisma3,0.003780636146632948,3.207286369513737e-05
feature_charisma4,0.0036686361106939435,2.2328024387433567e-05
feature_charisma5,0.0029716309601304884,1.9335090706312497e-05
feature_charisma6,0.003746127040827602,2.4441901378155643e-05
feature_charisma7,0.003531608967378138,2.2156514051249778e-05
feature_charisma8,0.0029605607211997315,1.8366532621559308e-05
feature_charisma9,0.004318409154422633,2.649081363650286e-05
feature_charisma10,0.0031939531035903336,2.573259461591536e-05
feature_charisma11,0.0035083052907111246,1.98993142532342e-05
feature_charisma12,0.0035905591702367953,2.2598084918938204e-05
feature_charisma13,0.003696114159178726,2.340321833663528e-05
feature_charisma14,0.0036015986645961022,2.2775274797322106e-05
feature_charisma15,0.002930401678055857,2.0090322831050035e-05
feature_charisma16,0.00347756285646535,1.9788167273098395e-05
feature_charisma17,0.003635504498949629,2.9029781113352154e-05
feature_charisma18,0.0034505071893455867,2.3620987559738868e-05
feature_charisma19,0.004141885096772333,2.798139445721813e-05
feature_charisma20,0.003646812004270821,2.2617757766149122e-05
feature_charisma21,0.0033022248679757393,2.3801127355451246e-05
feature_charisma22,0.003086962588866443,2.6571533075719794e-05
feature_charisma23,0.0034951142433782495,2.4595234999263705e-05
feature_charisma24,0.0034573144928538853,2.448600623416185e-05
feature_charisma25,0.0025916235602815446,1.821109407377612e-05
feature_charisma26,0.0035151051853372596,2.1501223299889643e-05
feature_charisma27,0.0024945819220500848,1.881521290514705e-05
feature_charisma28,0.0034187235617497676,1.9700439497777663e-05
feature_charisma29,0.003551525301784413,2.5971520408742442e-05
feature_charisma30,0.003693729075624526,2.3649582308870566e-05
feature_charisma31,0.003643666253222006,2.121541322694274e-05
feature_charisma32,0.0029528648579225385,2.2972032340321013e-05
feature_charisma33,0.0035712547116290194,1.900620421811637e-05
feature_charisma34,0.0036181895000451493,2.8650576364936336e-05
feature_charisma35,0.00342176834415749,2.1695757113005327e-05
feature_charisma36,0.003260000884491981,2.05954403569438e-05
feature_charisma37,0.0035146641916259987,2.21339295216674e-05
feature_charisma38,0.003710159075875008,2.2173964736861547e-05
feature_charisma39,0.0034440187145490684,2.1902095407813385e-05
feature_charisma40,0.0034862807228917114,2.629848234095087e-05
feature_charisma41,0.0029646360525439875,1.8230498722659243e-05
feature_charisma42,0.0034552498508858363,2.370760801208949e-05
feature_charisma43,0.0038443745820773436,2.2102733527404517e-05
feature_charisma44,0.003124417580161992,1.6993709329254335e-05
feature_charisma45,0.0037706469012559057,2.8059127760401417e-05
feature_charisma46,0.003844556034856287,2.1733770873861296e-05
feature_charisma47,0.0026125783447954977,1.8381713480415156e-05
feature_charisma48,0.0028962322851545817,2.060259240759623e-05
feature_charisma49,0.0031843951826368666,2.1302934928907743e-05
feature_charisma50,0.0036234504883498326,2.5365117224543513e-05
feature_charisma51,0.0037149476594354114,2.0092098553660208e-05
feature_charisma52,0.0036930823666844774,2.3571682680550608e-05
feature_charisma53,0.0034342126661929683,2.343963563411758e-05
feature_charisma54,0.003720998138791446,2.782026548682263e-05
feature_charisma55,0.003656552498279459,2.669717190265633e-05
feature_charisma56,0.003195794349518807,1.9597537817452535e-05
feature_charisma57,0.0035525383449993525,2.041807115682766e-05
feature_charisma58,0.003432693594127101,1.7333851035530467e-05
feature_charisma59,0.002920748248293265,2.0584930237080543e-05
feature_charisma60,0.0030776565824458158,2.277699097240751e-05
feature_charisma61,0.003483120125712587,2.0427648530469656e-05
feature_charisma62,0.0036615947536728114,2.544317072811139e-05
