mean,std
feature_intelligence1,0.0039187392080534,9.075769522476565e-05
feature_intelligence2,0.003699707190304263,1.3573946225385186e-05
feature_intelligence3,0.003700241718618487,1.819822863671581e-05
feature_intelligence4,0.004302023808313626,0.00010481049721236044
feature_intelligence5,0.003600037510460329,1.0984877426132158e-05
feature_intelligence6,0.0036097080438514434,1.1062944928850178e-05
feature_intelligence7,0.0035968773086758102,9.855283822835512e-06
feature_intelligence8,0.003993971745939188,7.734260536779809e-05
feature_intelligence9,0.003448497498368677,1.8328677299309263e-05
feature_intelligence10,0.0034824344070967044,2.3807387873986396e-05
feature_intelligence11,0.003964809393179599,3.4460075872269885e-05
feature_intelligence12,0.0035838040103854754,1.0658962593704446e-05
feature_charisma1,0.0039020141460103432,1.2404942750622118e-05
feature_charisma2,0.0034400440582653654,1.0317278221380411e-05
feature_charisma3,0.0035925153044096035,1.2255633468305204e-05
feature_charisma4,0.003550604266425001,1.074540442791411e-05
feature_charisma5,0.002992170623531955,9.257858284580265e-06
feature_charisma6,0.003566135354087287,1.0746283157450603e-05
feature_charisma7,0.003450310884002654,1.015129497003113e-05
feature_charisma8,0.0029248530190696363,9.2511512925143e-06
feature_charisma9,0.003964437527304837,1.2330332412617704e-05
feature_charisma10,0.0031709892084484433,1.0176691564382385e-05
feature_charisma11,0.0034081264822419842,9.678406971165216e-06
feature_charisma12,0.0034857537298037316,1.0372581020043235e-05
feature_charisma13,0.00358342863303641,1.1031720885281368e-05
feature_charisma14,0.003453427949720139,1.0695162599407112e-05
feature_charisma15,0.00291074667702111,9.484293270275458e-06
feature_charisma16,0.0033735965002663266,1.094798374121905e-05
feature_charisma17,0.0034892509587417923,1.131860768467887e-05
feature_charisma18,0.003369327418907413,1.1542982561345036e-05
feature_charisma19,0.003871464861189295,1.2137283506730967e-05
feature_charisma20,0.003543117690480939,1.0410732705534714e-05
feature_charisma21,0.0032940305794657144,1.1399411170501928e-05
feature_charisma22,0.003005192378627868,9.823195782369682e-06
