Datetime,Total,SM,ROUTE,INDIRETOS,OUTROS,Day_gregoriano,Week_Month,Week_Year,Month_gregoriano,Year,holidays,Next_holiday,temperatura,Ajuste_ipca,PMC,Massa.Renda,Renda,Desemprego
2015-01-01,1140939.79,53836.01,445628.58,279716.45,361758.75,1,1,1,1,2015,1,0,27.54,256.57,97.99,5047993.34,1588.12,9.28
2015-01-10,1208345.05,44632.77,411396.38,373728.09,378587.81000000006,10,2,2,1,2015,0,6,27.54,256.57,97.99,5047993.34,1588.12,9.28
2015-01-17,1232568.27,50346.89,377523.01,414361.51,390336.86,17,3,3,1,2015,0,5,27.54,256.57,97.99,5047993.34,1588.12,9.28
2015-01-24,1286220.81,59593.78,404243.53,409215.53,413167.97,24,4,4,1,2015,0,4,27.54,256.57,97.99,5047993.34,1588.12,9.28
2015-01-31,932421.5,40541.61,335083.88,260696.61,296099.4,31,5,5,1,2015,0,3,27.54,256.57,97.99,5047993.34,1588.12,9.28
2015-02-07,1241822.85,70487.92,408126.39,355669.98,407538.56000000006,7,1,6,2,2015,0,2,27.66,259.7,85.23,5047993.34,1588.12,9.28
2015-02-14,663559.52,36414.65,220739.47,189597.64,216807.76,14,2,7,2,2015,0,1,27.66,259.7,85.23,5047993.34,1588.12,9.28
2015-02-21,1038922.62,48086.97,348372.04,309111.27,333352.34,21,3,8,2,2015,2,0,27.66,259.7,85.23,5047993.34,1588.12,9.28
2015-02-28,765228.3,28923.07,299549.08,199361.18,237394.97,28,4,9,2,2015,0,5,27.66,259.7,85.23,5047993.34,1588.12,9.28
2015-03-07,883281.28,31903.17,310258.89,265346.15,275773.0700000001,7,1,10,3,2015,0,4,27.31,263.13,93.35,5047993.34,1588.12,9.28
2015-03-14,905788.98,30366.08,294306.35,299975.35,281141.19999999995,14,2,11,3,2015,0,3,27.31,263.13,93.35,5047993.34,1588.12,9.28
2015-03-21,1035448.0,45611.97,313853.22,345554.18,330428.6300000001,21,3,12,3,2015,0,2,27.31,263.13,93.35,5047993.34,1588.12,9.28
2015-03-28,983942.04,54783.69,299975.35,306676.72,322506.28,28,4,13,3,2015,0,1,27.31,263.13,93.35,5047993.34,1588.12,9.28
